time,Coincident Index
Jan-85,84.1
Feb-85,83.7
Mar-85,84
Apr-85,84.6
May-85,84.6
Jun-85,84.1
Jul-85,84.7
Aug-85,84.2
Sep-85,84
Oct-85,84.2
Nov-85,84
Dec-85,83.4
Jan-86,83.4
Feb-86,83.2
Mar-86,82.8
Apr-86,82.9
May-86,82.1
Jun-86,82
Jul-86,81.3
Aug-86,81.2
Sep-86,82
Oct-86,81.8
Nov-86,81.2
Dec-86,82
Jan-87,82.3
Feb-87,82.6
Mar-87,83.5
Apr-87,83.5
May-87,84.1
Jun-87,85.8
Jul-87,87
Aug-87,87.8
Sep-87,89.3
Oct-87,90.4
Nov-87,91.4
Dec-87,92.3
Jan-88,93.2
Feb-88,95.6
Mar-88,94.5
Apr-88,96.1
May-88,95.8
Jun-88,96.7
Jul-88,97.4
Aug-88,97.8
Sep-88,98.3
Oct-88,98.6
Nov-88,100
Dec-88,100.2
Jan-89,100.6
Feb-89,100.7
Mar-89,104.5
Apr-89,101.8
May-89,101.5
Jun-89,102
Jul-89,101.5
Aug-89,102.5
Sep-89,102.9
Oct-89,102.6
Nov-89,103.5
Dec-89,104.1
Jan-90,104
Feb-90,104.1
Mar-90,104.1
Apr-90,104.6
May-90,105.7
Jun-90,106.5
Jul-90,106.9
Aug-90,106.5
Sep-90,105.9
Oct-90,107.3
Nov-90,106.6
Dec-90,106.7
Jan-91,106.3
Feb-91,105.8
Mar-91,104.6
Apr-91,104.1
May-91,104.4
Jun-91,102.6
Jul-91,103.5
Aug-91,102.1
Sep-91,100.9
Oct-91,99.9
Nov-91,100.1
Dec-91,97.8
Jan-92,96.3
Feb-92,95.5
Mar-92,93.5
Apr-92,92
May-92,89.9
Jun-92,89.8
Jul-92,88.9
Aug-92,86.7
Sep-92,88
Oct-92,85.5
Nov-92,83.8
Dec-92,83.2
Jan-93,84.1
Feb-93,83.9
Mar-93,82.9
Apr-93,82.2
May-93,82.2
Jun-93,81
Jul-93,80.6
Aug-93,80.4
Sep-93,80.3
Oct-93,78.9
Nov-93,78.6
Dec-93,78.1
Jan-94,78.4
Feb-94,78.4
Mar-94,79.7
Apr-94,79.9
May-94,80.1
Jun-94,81.1
Jul-94,82.1
