date,total,manufac,home,manu/tot,hokkaido,touhoku,tokyo,cyubu,hokuriku,kansai,cyugoku,shikoku,kyushu,okinawa
1/1/1989,51644033,17795609,33848424,0.344582,1587979,4296497,17247927,7943980,1729736,9329718,3369884,1573109,4259059,306144
2/1/1989,47947215,17531314,30415901,0.365638,1609031,3863413,16012571,7352864,1550767,8692023,3139097,1519315,3915719,292415
3/1/1989,48573850,19163583,29410267,0.394525,1521358,4183834,15827922,7592760,1620815,8899044,3145131,1496695,4017998,268293
4/1/1989,48788188,18542427,30245761,0.38006,1553419,3924590,16340496,7571112,1619142,8941374,3219856,1453791,3869017,295391
5/1/1989,46276002,18451992,27824010,0.398738,1478413,3891051,15276117,7073921,1571950,8401380,2978605,1437151,3849285,318129
6/1/1989,46613542,19596745,27016797,0.420409,1475190,3946162,15379536,7141599,1582569,8433730,2915168,1478401,3893575,367612
7/1/1989,51225641,20209882,31015759,0.394527,1506323,3948859,16983719,7882726,1684817,9646614,3255499,1561602,4295519,459963
8/1/1989,55956119,19586570,36369549,0.350034,1640771,4524424,18172099,8075286,1820782,10805938,3594460,1773889,5056689,491781
9/1/1989,57441707,20146647,37295060,0.350732,1692625,4187866,19561801,8913633,1722061,10718209,3717759,1677966,4775515,474272
10/1/1989,50362760,20047666,30315094,0.398065,1585467,4072553,16718961,7710706,1645642,9060485,3263430,1503811,4362734,438971
11/1/1989,48737690,19717917,29019773,0.404572,1598218,3974160,16371682,7529603,1618318,8727530,3130100,1480454,3951978,355647
12/1/1989,50427107,19690072,30737035,0.390466,1619979,4196668,16806274,7667928,1700301,9130624,3279744,1545461,4155335,324793
1/1/1990,54942825,18811428,36131397,0.342382,1698775,4567363,18557259,8380278,1854452,9909926,3467139,1684472,4509277,313884
2/1/1990,52100709,18542857,33557852,0.355904,1749078,4220044,17658404,7899871,1652142,9403337,3419366,1624080,4168635,305752
3/1/1990,50424779,19985404,30439375,0.396341,1646582,4315192,16625806,7820840,1683670,9126148,3256906,1527427,4125821,296387
4/1/1990,50132296,19382693,30749603,0.386631,1623194,4000331,16922370,7746514,1631413,9075956,3262678,1520676,4038901,310263
5/1/1990,50340032,19640288,30699744,0.390152,1569784,4231104,16901728,7699296,1619831,9101912,3163998,1547593,4169473,335313
6/1/1990,50330967,21085788,29245179,0.418943,1594729,4146658,16947180,7603432,1673775,9037982,3180004,1591059,4156356,399792
7/1/1990,56756870,21751765,35005105,0.383245,1645714,4396520,18681394,8562597,1848764,10695097,3581868,1780715,5067524,496677
8/1/1990,63496026,20839817,42656209,0.328207,1732253,4706896,20743237,9150838,1964949,12622070,4178955,2020789,5832654,543385
9/1/1990,62249233,21311005,40938228,0.34235,1796213,4507248,21155324,9420179,1857606,11669787,4161420,1793822,5375917,511717
10/1/1990,53737227,21579147,32158080,0.401568,1696632,4514925,17998840,8088680,1728128,9554590,3463479,1627296,4615961,448696
11/1/1990,51317422,20662067,30655355,0.402633,1685352,4166935,17023960,7927516,1676781,9265935,3388012,1539065,4270213,373653
12/1/1990,52515810,20638779,31877031,0.393001,1706184,4353425,17592702,7943616,1740223,9407714,3478626,1594140,4361468,337712
1/1/1991,58027569,19956372,38071197,0.343912,1780677,4949537,19393041,8816161,1923767,10363350,3790552,1784724,4890254,335506
2/1/1991,55218641,19973336,35245305,0.361714,1859540,4578077,18480032,8419628,1776830,9923293,3646242,1715793,4498517,320689
3/1/1991,54811116,21279792,33531324,0.388239,1764643,4693005,18102471,8416723,1806799,9867715,3615376,1715568,4517238,311578
4/1/1991,53373762,20679239,32694523,0.387442,1790374,4497558,18057206,8086820,1690545,9379132,3518730,1619476,4391300,342621
5/1/1991,52557861,20701901,31855960,0.393888,1653440,4472282,17079547,8152279,1706777,9619938,3417215,1589539,4492841,374003
6/1/1991,53224382,21938422,31285960,0.412187,1673298,4289192,18139407,7990312,1731510,9472742,3497893,1601822,4361999,466207
7/1/1991,58971993,22676648,36295345,0.384533,1718510,4692887,19873010,8961709,1893224,10848446,3671425,1843182,4933054,536546
8/1/1991,63689467,20884295,42805172,0.327908,1798549,4536786,21066344,9321516,1890256,12509973,4230787,1974740,5789327,571189
9/1/1991,61657477,21614601,40042876,0.350559,1820440,4630619,20467688,9529465,1840330,11556520,4061773,1817334,5391296,542012
10/1/1991,55074008,21834933,33239075,0.396465,1771005,4737247,18114389,8441499,1753101,9831920,3640603,1625532,4682894,475818
11/1/1991,54461314,20895449,33565865,0.383675,1748999,4411965,18784575,8300932,1776081,9505246,3524765,1556187,4465522,387042
12/1/1991,53093799,20531583,32562216,0.386704,1772622,4421786,17659416,8080730,1780178,9407499,3587267,1614377,4426953,342971
1/1/1992,60124949,19726128,40398821,0.328086,1866559,5137015,20325682,9039670,1945172,10713846,3874926,1801169,5069130,351780
2/1/1992,57490912,19944354,37546558,0.346913,1940349,4763215,19504191,8748877,1855325,10110562,3804125,1746490,4679444,338334
3/1/1992,55517101,20731579,34785522,0.373427,1835125,4636731,18559047,8486474,1848050,9793447,3668483,1758067,4587817,343860
4/1/1992,54977277,20062792,34914485,0.364929,1824040,4793740,18514421,8280468,1750495,9639330,3611200,1627920,4578557,357106
5/1/1992,52933077,19959386,32973691,0.377068,1742787,4339297,17792680,7922045,1697201,9503503,3432372,1531613,4597934,373645
6/1/1992,52484321,21311223,31173098,0.406049,1679558,4509196,17503620,7977247,1725657,9216012,3434902,1569122,4443652,425355
7/1/1992,57161608,22044414,35117194,0.385651,1740928,4718938,18834208,8834000,1907566,10264302,3719646,1745581,4898319,498120
8/1/1992,64752834,20463775,44289059,0.316029,1834098,4808073,21884595,9493128,1946885,12305040,4259298,1955841,5696164,569712
9/1/1992,62722993,21497804,41225189,0.342742,1884365,4751735,21073060,9456017,1931004,11589387,4063915,1852026,5573124,548360
10/1/1992,55322059,21337306,33984753,0.385693,1791224,4632197,18125609,8395786,1791616,9866676,3687270,1637638,4889679,504364
11/1/1992,54577977,20586904,33991073,0.377202,1834301,4520192,18541144,8276285,1766366,9524177,3582989,1561580,4550391,420552
12/1/1992,54543020,20276397,34266623,0.371751,1803414,4643454,18323770,8106984,1829595,9595250,3617845,1679674,4583901,359133
1/1/1993,61029094,19433557,41595537,0.318431,1930550,5267843,20675620,9079570,1953324,10770072,3963874,1789807,5234315,364119
2/1/1993,57912557,19434699,38477858,0.335587,1980878,4794408,19789360,8681838,1798153,10146790,3824020,1749920,4792799,354391
3/1/1993,57293633,21109742,36183891,0.368448,1863775,4894042,18994364,8735933,1907457,10141530,3806798,1759765,4854422,335547
4/1/1993,57642485,20153357,37489128,0.349627,1876704,5007593,19066036,8834508,1826519,10242370,3881241,1699555,4847503,360456
5/1/1993,53836193,19949028,33887165,0.37055,1780321,4522059,18056578,8027352,1700361,9460772,3590802,1609869,4689638,398441
6/1/1993,54118729,21347937,32770792,0.394465,1697253,4540809,18314766,8094681,1713464,9487638,3571958,1645121,4579632,473407
7/1/1993,57703885,21324580,36379305,0.369552,1720660,4649907,19064136,8616071,1808462,10567565,3769084,1785123,5168612,554265
8/1/1993,60296876,19786866,40510010,0.328157,1820003,4650165,19776682,8687617,1792918,11580175,3998203,1891207,5487447,612459
9/1/1993,60874490,20779649,40094841,0.341352,1857366,4709002,20569172,9203626,1753094,11097147,3962830,1768342,5366380,587531
10/1/1993,55327358,20596928,34730430,0.372274,1822425,4617176,18540322,8241925,1710968,9795150,3671157,1639256,4763803,525176
11/1/1993,53844976,20086314,33758662,0.37304,1827647,4618061,18121610,8036189,1719604,9343556,3534770,1577127,4615484,450928
12/1/1993,56350584,19747094,36603490,0.350433,1853620,4883344,19053663,8198471,1816029,9928588,3762138,1714030,4753482,387219
1/1/1994,61845199,18984475,42860724,0.306968,2041659,5342160,20995431,9059396,1976860,10868861,3994744,1860001,5323974,382113
2/1/1994,60037350,19065404,40971946,0.317559,2043896,5097645,20511615,8946878,1857195,10541406,3895220,1788516,4987907,367072
3/1/1994,58699745,20625201,38074544,0.351368,1926216,4952122,19594753,8920794,1932571,10386564,3868780,1801954,4969546,346445
4/1/1994,58388440,19740741,38647699,0.338093,1979070,4978888,19659446,8851605,1777416,10271853,3848160,1691754,4958009,372239
5/1/1994,53652622,19732267,33920355,0.367778,1823660,4657755,17638908,8000214,1726762,9518696,3490861,1620316,4748911,426539
