DATE,TIME,elec
4/1/2016,0:00,12372
4/1/2016,1:00,12129
4/1/2016,2:00,12273
4/1/2016,3:00,12362
4/1/2016,4:00,12227
4/1/2016,5:00,12293
4/1/2016,6:00,12799
4/1/2016,7:00,13755
4/1/2016,8:00,15514
4/1/2016,9:00,16821
4/1/2016,10:00,16956
4/1/2016,11:00,16934
4/1/2016,12:00,15854
4/1/2016,13:00,16904
4/1/2016,14:00,16946
4/1/2016,15:00,16581
4/1/2016,16:00,16602
4/1/2016,17:00,16220
4/1/2016,18:00,16408
4/1/2016,19:00,15824
4/1/2016,20:00,15133
4/1/2016,21:00,14591
4/1/2016,22:00,13994
4/1/2016,23:00,13516
4/2/2016,0:00,12459
4/2/2016,1:00,12100
4/2/2016,2:00,12131
4/2/2016,3:00,12129
4/2/2016,4:00,11842
4/2/2016,5:00,11516
4/2/2016,6:00,11250
4/2/2016,7:00,11527
4/2/2016,8:00,12426
4/2/2016,9:00,13021
4/2/2016,10:00,13013
4/2/2016,11:00,12807
4/2/2016,12:00,12279
4/2/2016,13:00,12353
4/2/2016,14:00,12391
4/2/2016,15:00,12166
4/2/2016,16:00,12226
4/2/2016,17:00,12616
4/2/2016,18:00,13360
4/2/2016,19:00,13112
4/2/2016,20:00,12619
4/2/2016,21:00,12024
4/2/2016,22:00,11461
4/2/2016,23:00,11099
4/3/2016,0:00,10689
4/3/2016,1:00,10569
4/3/2016,2:00,10756
4/3/2016,3:00,10825
4/3/2016,4:00,10636
4/3/2016,5:00,10297
4/3/2016,6:00,9980
4/3/2016,7:00,10286
4/3/2016,8:00,10768
4/3/2016,9:00,11265
4/3/2016,10:00,11260
4/3/2016,11:00,11229
4/3/2016,12:00,11116
4/3/2016,13:00,11075
4/3/2016,14:00,10927
4/3/2016,15:00,10989
4/3/2016,16:00,11301
4/3/2016,17:00,12089
4/3/2016,18:00,12875
4/3/2016,19:00,12781
4/3/2016,20:00,12434
4/3/2016,21:00,11975
4/3/2016,22:00,11327
4/3/2016,23:00,10906
4/4/2016,0:00,10393
4/4/2016,1:00,10380
4/4/2016,2:00,10612
4/4/2016,3:00,10799
4/4/2016,4:00,10890
4/4/2016,5:00,11042
4/4/2016,6:00,11721
4/4/2016,7:00,13205
4/4/2016,8:00,15370
4/4/2016,9:00,16559
4/4/2016,10:00,16588
4/4/2016,11:00,16651
4/4/2016,12:00,15490
4/4/2016,13:00,16658
4/4/2016,14:00,16610
4/4/2016,15:00,16166
4/4/2016,16:00,16156
4/4/2016,17:00,15841
4/4/2016,18:00,16149
4/4/2016,19:00,15580
4/4/2016,20:00,14904
4/4/2016,21:00,14544
4/4/2016,22:00,13937
4/4/2016,23:00,13461
4/5/2016,0:00,12670
4/5/2016,1:00,12492
4/5/2016,2:00,12548
4/5/2016,3:00,12704
4/5/2016,4:00,12608
4/5/2016,5:00,12627
4/5/2016,6:00,12958
4/5/2016,7:00,13766
4/5/2016,8:00,15678
4/5/2016,9:00,16838
4/5/2016,10:00,16604
4/5/2016,11:00,16373
4/5/2016,12:00,15267
4/5/2016,13:00,16528
4/5/2016,14:00,16550
4/5/2016,15:00,16221
4/5/2016,16:00,16147
4/5/2016,17:00,15725
4/5/2016,18:00,16193
4/5/2016,19:00,15822
4/5/2016,20:00,15190
4/5/2016,21:00,14780
4/5/2016,22:00,14167
4/5/2016,23:00,13755
4/6/2016,0:00,13112
4/6/2016,1:00,12846
4/6/2016,2:00,12844
4/6/2016,3:00,12991
4/6/2016,4:00,12978
4/6/2016,5:00,12982
4/6/2016,6:00,13478
4/6/2016,7:00,14322
4/6/2016,8:00,16094
4/6/2016,9:00,16928
4/6/2016,10:00,16842
4/6/2016,11:00,16865
4/6/2016,12:00,15422
4/6/2016,13:00,16433
4/6/2016,14:00,16417
4/6/2016,15:00,16115
4/6/2016,16:00,16163
4/6/2016,17:00,15837
4/6/2016,18:00,16301
4/6/2016,19:00,15900
4/6/2016,20:00,15218
4/6/2016,21:00,14669
4/6/2016,22:00,14052
4/6/2016,23:00,13484
4/7/2016,0:00,12548
4/7/2016,1:00,12350
4/7/2016,2:00,12438
4/7/2016,3:00,12467
4/7/2016,4:00,12415
4/7/2016,5:00,12409
4/7/2016,6:00,13271
4/7/2016,7:00,14392
4/7/2016,8:00,16517
4/7/2016,9:00,17697
4/7/2016,10:00,17913
4/7/2016,11:00,17894
4/7/2016,12:00,16671
4/7/2016,13:00,17918
4/7/2016,14:00,17963
4/7/2016,15:00,17641
4/7/2016,16:00,17705
