DATE,TIME,electricity
2016/4/1,0:00,1237
2016/4/1,1:00,1213
2016/4/1,2:00,1227
2016/4/1,3:00,1236
2016/4/1,4:00,1223
2016/4/1,5:00,1229
2016/4/1,6:00,1280
2016/4/1,7:00,1376
2016/4/1,8:00,1551
2016/4/1,9:00,1682
2016/4/1,10:00,1696
2016/4/1,11:00,1693
2016/4/1,12:00,1585
2016/4/1,13:00,1690
2016/4/1,14:00,1695
2016/4/1,15:00,1658
2016/4/1,16:00,1660
2016/4/1,17:00,1622
2016/4/1,18:00,1641
2016/4/1,19:00,1582
2016/4/1,20:00,1513
2016/4/1,21:00,1459
2016/4/1,22:00,1399
2016/4/1,23:00,1352
2016/4/2,0:00,1246
2016/4/2,1:00,1210
2016/4/2,2:00,1213
2016/4/2,3:00,1213
2016/4/2,4:00,1184
2016/4/2,5:00,1152
2016/4/2,6:00,1125
2016/4/2,7:00,1153
2016/4/2,8:00,1243
2016/4/2,9:00,1302
2016/4/2,10:00,1301
2016/4/2,11:00,1281
2016/4/2,12:00,1228
2016/4/2,13:00,1235
2016/4/2,14:00,1239
2016/4/2,15:00,1217
2016/4/2,16:00,1223
2016/4/2,17:00,1262
2016/4/2,18:00,1336
2016/4/2,19:00,1311
2016/4/2,20:00,1262
2016/4/2,21:00,1202
2016/4/2,22:00,1146
2016/4/2,23:00,1110
2016/4/3,0:00,1069
2016/4/3,1:00,1057
2016/4/3,2:00,1076
2016/4/3,3:00,1083
2016/4/3,4:00,1064
2016/4/3,5:00,1030
2016/4/3,6:00,998
2016/4/3,7:00,1029
2016/4/3,8:00,1077
2016/4/3,9:00,1127
2016/4/3,10:00,1126
2016/4/3,11:00,1123
2016/4/3,12:00,1112
2016/4/3,13:00,1108
2016/4/3,14:00,1093
2016/4/3,15:00,1099
2016/4/3,16:00,1130
2016/4/3,17:00,1209
2016/4/3,18:00,1288
2016/4/3,19:00,1278
2016/4/3,20:00,1243
2016/4/3,21:00,1198
2016/4/3,22:00,1133
2016/4/3,23:00,1091
2016/4/4,0:00,1039
2016/4/4,1:00,1038
2016/4/4,2:00,1061
2016/4/4,3:00,1080
2016/4/4,4:00,1089
2016/4/4,5:00,1104
2016/4/4,6:00,1172
2016/4/4,7:00,1321
2016/4/4,8:00,1537
2016/4/4,9:00,1656
2016/4/4,10:00,1659
2016/4/4,11:00,1665
2016/4/4,12:00,1549
2016/4/4,13:00,1666
2016/4/4,14:00,1661
2016/4/4,15:00,1617
2016/4/4,16:00,1616
2016/4/4,17:00,1584
2016/4/4,18:00,1615
2016/4/4,19:00,1558
2016/4/4,20:00,1490
2016/4/4,21:00,1454
2016/4/4,22:00,1394
2016/4/4,23:00,1346
2016/4/5,0:00,1267
2016/4/5,1:00,1249
2016/4/5,2:00,1255
2016/4/5,3:00,1270
2016/4/5,4:00,1261
2016/4/5,5:00,1263
2016/4/5,6:00,1296
2016/4/5,7:00,1377
2016/4/5,8:00,1568
2016/4/5,9:00,1684
2016/4/5,10:00,1660
2016/4/5,11:00,1637
2016/4/5,12:00,1527
2016/4/5,13:00,1653
2016/4/5,14:00,1655
2016/4/5,15:00,1622
2016/4/5,16:00,1615
2016/4/5,17:00,1573
2016/4/5,18:00,1619
2016/4/5,19:00,1582
2016/4/5,20:00,1519
2016/4/5,21:00,1478
2016/4/5,22:00,1417
2016/4/5,23:00,1376
2016/4/6,0:00,1311
2016/4/6,1:00,1285
2016/4/6,2:00,1284
2016/4/6,3:00,1299
2016/4/6,4:00,1298
2016/4/6,5:00,1298
2016/4/6,6:00,1348
2016/4/6,7:00,1432
2016/4/6,8:00,1609
2016/4/6,9:00,1693
2016/4/6,10:00,1684
2016/4/6,11:00,1687
2016/4/6,12:00,1542
2016/4/6,13:00,1643
2016/4/6,14:00,1642
2016/4/6,15:00,1612
2016/4/6,16:00,1616
2016/4/6,17:00,1584
2016/4/6,18:00,1630
2016/4/6,19:00,1590
2016/4/6,20:00,1522
2016/4/6,21:00,1467
2016/4/6,22:00,1405
2016/4/6,23:00,1348
2016/4/7,0:00,1255
2016/4/7,1:00,1235
2016/4/7,2:00,1244
2016/4/7,3:00,1247
2016/4/7,4:00,1242
2016/4/7,5:00,1241
2016/4/7,6:00,1327
2016/4/7,7:00,1439
2016/4/7,8:00,1652
2016/4/7,9:00,1770
2016/4/7,10:00,1791
