DATE,elec
2016-04-30,9758167
2016-05-31,9800853
2016-06-30,10475729
2016-07-31,11824805
2016-08-31,12177544
2016-09-30,11312880
2016-10-31,10467499
2016-11-30,10539724
2016-12-31,11585429
2017-01-31,12388853
2017-02-28,11577300
2017-03-31,11893031
2017-04-30,10065591
2017-05-31,9824449
2017-06-30,10394784
2017-07-31,12377974
2017-08-31,12150094
2017-09-30,10737438
2017-10-31,10532426
2017-11-30,10862456
2017-12-31,12471225
2018-01-31,12765602
2018-02-28,11961114
2018-03-31,11399385
2018-04-30,9947317
2018-05-31,10053231
2018-06-30,10753280
2018-07-31,13142711
2018-08-31,12782178
2018-09-30,10921706
2018-10-31,10610761
2018-11-30,10487050
2018-12-31,11837363
2019-01-31,12536577
2019-02-28,11375349
2019-03-31,11509433
2019-04-30,10277726
2019-05-31,10006584
2019-06-30,10469110
2019-07-31,11837745
2019-08-31,12422299
2019-09-30,11594753
2019-10-31,10456171
2019-11-30,10278030
2019-12-31,11456472
2020-01-31,11746264
2020-02-29,11484744
2020-03-31,11211431
