DATE,elec
2017-04-30,4531588
2017-05-31,4450358
2017-06-30,4548422
2017-07-31,5609451
2017-08-31,5616584
2017-09-30,4708437
2017-10-31,4711177
2017-11-30,5017985
2017-12-31,5986285
2018-01-31,6131303
2018-02-28,5647267
2018-03-31,5283168
2018-04-30,4540925
2018-05-31,4502609
2018-06-30,4701525
2018-07-31,5763803
2018-08-31,5860906
2018-09-30,4857789
2018-10-31,4711811
2018-11-30,4817340
2018-12-31,5553487
2019-01-31,5794239
2019-02-28,5203462
2019-03-31,5123207
2019-04-30,4539790
2019-05-31,4325520
2019-06-30,4528966
2019-07-31,5208393
2019-08-31,5481577
2019-09-30,5034912
2019-10-31,4674528
2019-11-30,4746639
2019-12-31,5499171
2020-01-31,5519369
2020-02-29,5282637
2020-03-31,5014167
