DATE,TIME,elec
4/1/2017,0:00,6545
4/1/2017,1:00,6601
4/1/2017,2:00,6850
4/1/2017,3:00,7059
4/1/2017,4:00,6959
4/1/2017,5:00,6671
4/1/2017,6:00,6647
4/1/2017,7:00,6623
4/1/2017,8:00,6893
4/1/2017,9:00,7270
4/1/2017,10:00,6797
4/1/2017,11:00,6709
4/1/2017,12:00,6272
4/1/2017,13:00,6256
4/1/2017,14:00,6005
4/1/2017,15:00,6046
4/1/2017,16:00,6124
4/1/2017,17:00,6268
4/1/2017,18:00,6750
4/1/2017,19:00,6891
4/1/2017,20:00,6714
4/1/2017,21:00,6462
4/1/2017,22:00,6190
4/1/2017,23:00,5974
4/2/2017,0:00,5938
4/2/2017,1:00,6024
4/2/2017,2:00,6409
4/2/2017,3:00,6678
4/2/2017,4:00,6569
4/2/2017,5:00,6224
4/2/2017,6:00,6076
4/2/2017,7:00,6054
4/2/2017,8:00,5864
4/2/2017,9:00,5911
4/2/2017,10:00,5808
4/2/2017,11:00,5850
4/2/2017,12:00,5762
4/2/2017,13:00,5647
4/2/2017,14:00,5504
4/2/2017,15:00,5418
4/2/2017,16:00,5895
4/2/2017,17:00,6346
4/2/2017,18:00,6708
4/2/2017,19:00,6885
4/2/2017,20:00,6720
4/2/2017,21:00,6521
4/2/2017,22:00,6182
4/2/2017,23:00,5879
4/3/2017,0:00,5960
4/3/2017,1:00,6108
4/3/2017,2:00,6468
4/3/2017,3:00,6762
4/3/2017,4:00,6744
4/3/2017,5:00,6678
4/3/2017,6:00,7024
4/3/2017,7:00,7214
4/3/2017,8:00,7311
4/3/2017,9:00,7425
4/3/2017,10:00,7230
4/3/2017,11:00,7204
4/3/2017,12:00,6631
4/3/2017,13:00,6958
4/3/2017,14:00,6931
4/3/2017,15:00,6794
4/3/2017,16:00,6822
4/3/2017,17:00,6853
4/3/2017,18:00,7192
4/3/2017,19:00,7176
4/3/2017,20:00,7010
4/3/2017,21:00,6752
4/3/2017,22:00,6404
4/3/2017,23:00,6144
4/4/2017,0:00,6126
4/4/2017,1:00,6328
4/4/2017,2:00,6779
4/4/2017,3:00,7037
4/4/2017,4:00,6980
4/4/2017,5:00,6797
4/4/2017,6:00,7097
4/4/2017,7:00,7115
4/4/2017,8:00,7257
4/4/2017,9:00,7410
4/4/2017,10:00,7198
4/4/2017,11:00,7182
4/4/2017,12:00,6668
4/4/2017,13:00,6986
4/4/2017,14:00,6872
4/4/2017,15:00,6860
4/4/2017,16:00,6929
4/4/2017,17:00,6838
4/4/2017,18:00,7016
4/4/2017,19:00,7039
4/4/2017,20:00,6898
4/4/2017,21:00,6637
4/4/2017,22:00,6272
4/4/2017,23:00,6089
4/5/2017,0:00,6027
4/5/2017,1:00,6214
4/5/2017,2:00,6572
4/5/2017,3:00,6813
4/5/2017,4:00,6811
4/5/2017,5:00,6546
4/5/2017,6:00,6554
4/5/2017,7:00,6602
4/5/2017,8:00,6893
4/5/2017,9:00,7147
4/5/2017,10:00,6930
4/5/2017,11:00,6718
4/5/2017,12:00,6398
4/5/2017,13:00,6694
4/5/2017,14:00,6906
4/5/2017,15:00,6838
4/5/2017,16:00,6764
4/5/2017,17:00,6760
4/5/2017,18:00,7009
4/5/2017,19:00,6972
4/5/2017,20:00,6753
4/5/2017,21:00,6458
4/5/2017,22:00,6102
4/5/2017,23:00,5934
4/6/2017,0:00,5965
4/6/2017,1:00,6085
4/6/2017,2:00,6451
4/6/2017,3:00,6747
4/6/2017,4:00,6654
4/6/2017,5:00,6408
4/6/2017,6:00,6373
4/6/2017,7:00,6520
4/6/2017,8:00,7076
4/6/2017,9:00,7439
4/6/2017,10:00,7250
4/6/2017,11:00,7312
4/6/2017,12:00,7004
4/6/2017,13:00,7443
4/6/2017,14:00,7469
4/6/2017,15:00,7309
4/6/2017,16:00,7380
4/6/2017,17:00,7317
4/6/2017,18:00,7402
4/6/2017,19:00,7102
4/6/2017,20:00,6790
4/6/2017,21:00,6530
4/6/2017,22:00,6138
4/6/2017,23:00,5907
4/7/2017,0:00,5851
4/7/2017,1:00,5992
4/7/2017,2:00,6371
4/7/2017,3:00,6683
4/7/2017,4:00,6504
4/7/2017,5:00,6165
4/7/2017,6:00,6251
4/7/2017,7:00,6419
4/7/2017,8:00,6852
4/7/2017,9:00,7138
4/7/2017,10:00,6909
4/7/2017,11:00,6869
4/7/2017,12:00,6272
4/7/2017,13:00,6730
4/7/2017,14:00,6856
4/7/2017,15:00,6849
4/7/2017,16:00,6848
4/7/2017,17:00,6854
4/7/2017,18:00,6894
4/7/2017,19:00,6703
4/7/2017,20:00,6357
4/7/2017,21:00,6128
4/7/2017,22:00,5857
4/7/2017,23:00,5640
4/8/2017,0:00,5611
4/8/2017,1:00,5695
4/8/2017,2:00,6090
4/8/2017,3:00,6305
4/8/2017,4:00,6222
4/8/2017,5:00,5785
4/8/2017,6:00,5627
4/8/2017,7:00,5736
4/8/2017,8:00,6031
4/8/2017,9:00,6328
4/8/2017,10:00,6387
4/8/2017,11:00,6429
4/8/2017,12:00,6284
4/8/2017,13:00,6302
4/8/2017,14:00,6255
4/8/2017,15:00,6079
4/8/2017,16:00,6096
4/8/2017,17:00,6202
4/8/2017,18:00,6399
4/8/2017,19:00,6350
