DATE,elec
2016-04-30,2378366
2016-05-31,2256014
2016-06-30,2221429
2016-07-31,2360767
2016-08-31,2493385
2016-09-30,2303040
2016-10-31,2438273
2016-11-30,2781977
2016-12-31,3202403
2017-01-31,3292927
2017-02-28,2884071
2017-03-31,2827377
2017-04-30,2379915
2017-05-31,2220008
2017-06-30,2147409
2017-07-31,2433207
2017-08-31,2344549
2017-09-30,2226785
2017-10-31,2407763
2017-11-30,2659549
2017-12-31,3246445
2018-01-31,3226140
2018-02-28,2981964
2018-03-31,2878963
2018-04-30,2382569
2018-05-31,2276434
2018-06-30,2194797
2018-07-31,2396403
2018-08-31,2367666
2018-09-30,2051070
2018-10-31,2314279
2018-11-30,2531948
2018-12-31,3145521
2019-01-31,3246234
2019-02-28,2913998
2019-03-31,2761886
2019-04-30,2365285
2019-05-31,2198848
2019-06-30,2122573
2019-07-31,2338927
2019-08-31,2385102
2019-09-30,2214743
2019-10-31,2310263
2019-11-30,2588457
2019-12-31,3070698
2020-01-31,3138465
2020-02-29,2945058
2020-03-31,2729233
