DATE,TIME,elec
4/1/2016,0:00,3166
4/1/2016,1:00,3282
4/1/2016,2:00,3387
4/1/2016,3:00,3468
4/1/2016,4:00,3598
4/1/2016,5:00,3545
4/1/2016,6:00,3403
4/1/2016,7:00,3242
4/1/2016,8:00,3376
4/1/2016,9:00,3502
4/1/2016,10:00,3490
4/1/2016,11:00,3497
4/1/2016,12:00,3316
4/1/2016,13:00,3362
4/1/2016,14:00,3357
4/1/2016,15:00,3347
4/1/2016,16:00,3453
4/1/2016,17:00,3521
4/1/2016,18:00,3751
4/1/2016,19:00,3715
4/1/2016,20:00,3508
4/1/2016,21:00,3376
4/1/2016,22:00,3206
4/1/2016,23:00,3256
4/2/2016,0:00,3176
4/2/2016,1:00,3271
4/2/2016,2:00,3336
4/2/2016,3:00,3424
4/2/2016,4:00,3486
4/2/2016,5:00,3434
4/2/2016,6:00,3261
4/2/2016,7:00,3179
4/2/2016,8:00,3321
4/2/2016,9:00,3414
4/2/2016,10:00,3311
4/2/2016,11:00,3266
4/2/2016,12:00,3104
4/2/2016,13:00,3138
4/2/2016,14:00,3165
4/2/2016,15:00,3227
4/2/2016,16:00,3331
4/2/2016,17:00,3467
4/2/2016,18:00,3710
4/2/2016,19:00,3643
4/2/2016,20:00,3509
4/2/2016,21:00,3413
4/2/2016,22:00,3251
4/2/2016,23:00,3338
4/3/2016,0:00,3216
4/3/2016,1:00,3248
4/3/2016,2:00,3354
4/3/2016,3:00,3402
4/3/2016,4:00,3471
4/3/2016,5:00,3384
4/3/2016,6:00,3150
4/3/2016,7:00,3061
4/3/2016,8:00,3139
4/3/2016,9:00,3272
4/3/2016,10:00,3234
4/3/2016,11:00,3139
4/3/2016,12:00,3049
4/3/2016,13:00,2987
4/3/2016,14:00,2933
4/3/2016,15:00,2953
4/3/2016,16:00,3071
4/3/2016,17:00,3257
4/3/2016,18:00,3514
4/3/2016,19:00,3471
4/3/2016,20:00,3379
4/3/2016,21:00,3272
4/3/2016,22:00,3117
4/3/2016,23:00,3150
4/4/2016,0:00,3072
4/4/2016,1:00,3189
4/4/2016,2:00,3292
4/4/2016,3:00,3352
4/4/2016,4:00,3444
4/4/2016,5:00,3412
4/4/2016,6:00,3277
4/4/2016,7:00,3231
