※データは速報値であり、推計値などが含まれます,,,,,,,,,,,,,
※データは過去にさかのぼり修正する場合があります,,,,,,,,,,,,,
※四捨五入の関係で合計が合わないことがあります,,,,,,,,,,,,,
※例えば、0:00の実績値は、0時00分から1時00分までの1時間平均値を示します,,,,,,,,,,,,,
,,エリア需要,原子力,火力,水力,地熱,バイオマス,太陽光実績,太陽光抑制量,風力実績,風力抑制量,揚水,連系線
DATE,TIME,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh
2016/7/1,0:00,2752,0,2440,665,0,7,0,0,3,0,0,-362
2016/7/1,1:00,2728,0,2424,687,0,7,0,0,4,0,0,-395
2016/7/1,2:00,2887,0,2460,725,0,7,0,0,7,0,0,-311
2016/7/1,3:00,3004,0,2501,765,0,7,0,0,8,0,0,-278
2016/7/1,4:00,2952,0,2482,768,0,7,1,0,11,0,0,-318
2016/7/1,5:00,2801,0,2416,694,0,7,19,0,10,0,0,-346
2016/7/1,6:00,2787,0,2411,662,0,7,62,0,7,0,0,-362
2016/7/1,7:00,2985,0,2402,699,0,7,136,0,2,0,0,-262
2016/7/1,8:00,3432,0,2496,801,0,7,215,0,1,0,0,-87
2016/7/1,9:00,3872,0,2604,1044,0,7,290,0,1,0,0,-74
2016/7/1,10:00,4054,0,2627,1184,0,7,349,0,2,0,0,-115
2016/7/1,11:00,4145,0,2788,1098,0,7,362,0,4,0,0,-114
2016/7/1,12:00,3936,0,2779,870,0,7,353,0,2,0,0,-75
2016/7/1,13:00,4135,0,2882,1038,0,7,318,0,2,0,0,-112
2016/7/1,14:00,4205,0,2899,1126,0,7,274,0,0,0,0,-102
2016/7/1,15:00,4184,0,2993,1040,0,7,216,0,0,0,0,-72
2016/7/1,16:00,4140,0,3043,1061,0,7,133,0,2,0,0,-106
2016/7/1,17:00,3919,0,2897,1049,0,7,54,0,1,0,0,-88
2016/7/1,18:00,3776,0,2899,889,0,7,12,0,2,0,0,-32
2016/7/1,19:00,3692,0,2899,786,0,7,1,0,1,0,0,-1
2016/7/1,20:00,3488,0,2836,681,0,7,0,0,4,0,0,-40
2016/7/1,21:00,3293,0,2669,657,0,7,0,0,9,0,0,-49
2016/7/1,22:00,3150,0,2535,669,0,7,0,0,12,0,0,-73
2016/7/1,23:00,3029,0,2324,731,0,7,0,0,14,0,0,-47
2016/7/2,0:00,2856,0,2008,701,0,7,0,0,11,0,0,128
2016/7/2,1:00,2792,0,1694,738,0,7,0,0,12,0,0,340
2016/7/2,2:00,2945,0,1763,828,0,7,0,0,15,0,0,331
2016/7/2,3:00,3062,0,1817,899,0,7,0,0,21,0,0,317
2016/7/2,4:00,2981,0,1832,804,0,7,1,0,22,0,0,316
2016/7/2,5:00,2786,0,1797,658,0,7,10,0,25,0,0,290
2016/7/2,6:00,2757,0,1754,622,0,7,40,0,28,0,0,307
2016/7/2,7:00,2891,0,1822,710,0,7,94,0,36,0,0,222
2016/7/2,8:00,3212,0,1906,753,0,7,163,0,42,0,0,342
2016/7/2,9:00,3476,0,2084,844,0,7,226,0,49,0,0,267
2016/7/2,10:00,3606,0,2174,951,0,6,279,0,61,0,0,135
2016/7/2,11:00,3708,0,2244,950,0,7,311,0,80,0,0,116
2016/7/2,12:00,3678,0,2246,935,0,6,309,0,82,0,0,99
2016/7/2,13:00,3745,0,2316,996,0,6,197,0,87,0,0,142
2016/7/2,14:00,3754,0,2435,1003,0,7,119,0,90,0,0,101
2016/7/2,15:00,3703,0,2448,971,0,7,97,0,91,0,0,89
2016/7/2,16:00,3657,0,2435,966,0,7,62,0,91,0,0,97
2016/7/2,17:00,3529,0,2344,949,0,7,31,0,83,0,0,116
2016/7/2,18:00,3426,0,2364,874,0,7,13,0,66,0,0,102
2016/7/2,19:00,3370,0,2306,914,0,7,1,0,64,0,0,78
2016/7/2,20:00,3248,0,2255,834,0,7,0,0,56,0,0,97
2016/7/2,21:00,3048,0,2188,726,0,7,0,0,30,0,0,98
2016/7/2,22:00,2911,0,2027,746,0,7,0,0,19,0,0,112
2016/7/2,23:00,2769,0,1892,752,0,7,0,0,13,0,0,104
2016/7/3,0:00,2613,0,1916,659,0,7,0,0,11,0,0,21
2016/7/3,1:00,2564,0,1909,644,0,7,0,0,10,0,0,-6
2016/7/3,2:00,2691,0,1912,756,0,7,0,0,7,0,0,9
2016/7/3,3:00,2813,0,1947,883,0,7,0,0,8,0,0,-32
2016/7/3,4:00,2763,0,2009,799,0,7,1,0,11,0,0,-64
2016/7/3,5:00,2589,0,1917,704,0,7,2,0,30,0,0,-71
2016/7/3,6:00,2524,0,1749,723,0,7,7,0,71,0,0,-34
2016/7/3,7:00,2580,0,1657,838,0,7,19,0,91,0,0,-32
2016/7/3,8:00,2727,0,1825,851,0,7,24,0,78,0,0,-58
2016/7/3,9:00,2880,0,2010,796,0,7,37,0,71,0,0,-40
2016/7/3,10:00,2930,0,2122,750,0,7,57,0,57,0,0,-63
2016/7/3,11:00,2912,0,2049,805,0,7,88,0,37,0,0,-74
2016/7/3,12:00,2909,0,1953,784,0,6,165,0,25,0,0,-25
2016/7/3,13:00,2924,0,1768,952,0,7,209,0,16,0,0,-27
2016/7/3,14:00,2956,0,1771,1013,0,7,164,0,18,0,0,-17
2016/7/3,15:00,2952,0,1996,1013,0,7,124,0,13,0,0,-200
2016/7/3,16:00,2931,0,2025,1016,0,7,70,0,10,0,0,-195
2016/7/3,17:00,2999,0,2057,1091,0,6,29,0,8,0,0,-192
2016/7/3,18:00,3028,0,2041,1159,0,7,10,0,7,0,0,-196
2016/7/3,19:00,3038,0,1904,1315,0,7,1,0,8,0,0,-196
2016/7/3,20:00,2957,0,1886,1230,0,7,0,0,13,0,0,-178
2016/7/3,21:00,2808,0,2081,945,0,7,0,0,12,0,0,-236
2016/7/3,22:00,2670,0,2047,771,0,6,0,0,9,0,0,-163
2016/7/3,23:00,2556,0,2028,742,0,6,0,0,5,0,0,-225
2016/7/4,0:00,2433,0,2053,676,0,7,0,0,3,0,0,-304
2016/7/4,1:00,2436,0,2043,697,0,7,0,0,7,0,0,-318
2016/7/4,2:00,2595,0,2111,762,0,7,0,0,6,0,0,-290
2016/7/4,3:00,2728,0,2115,823,0,7,0,0,9,0,0,-226
2016/7/4,4:00,2710,0,2060,837,0,7,1,0,4,0,0,-198
2016/7/4,5:00,2596,0,2034,781,0,7,4,0,2,0,0,-232
2016/7/4,6:00,2654,0,1979,865,0,7,20,0,1,0,0,-218
2016/7/4,7:00,2882,0,2023,953,0,7,56,0,0,0,0,-156
2016/7/4,8:00,3392,0,2377,959,0,7,83,0,0,0,0,-33
2016/7/4,9:00,3768,0,2617,1063,0,6,87,0,0,0,0,-5
2016/7/4,10:00,3900,0,2673,1151,0,7,88,0,0,0,0,-19
2016/7/4,11:00,3963,0,2779,1161,0,7,61,0,0,0,0,-45
2016/7/4,12:00,3693,0,2742,882,0,6,71,0,0,0,0,-8
2016/7/4,13:00,3906,0,2856,979,0,7,86,0,3,0,0,-25
2016/7/4,14:00,3969,0,2822,1068,0,7,81,0,4,0,0,-12
2016/7/4,15:00,3953,0,2915,973,0,6,73,0,2,0,0,-16
2016/7/4,16:00,3928,0,2859,1148,0,7,40,0,0,0,0,-125
2016/7/4,17:00,3750,0,2699,1054,0,6,23,0,0,0,0,-33
2016/7/4,18:00,3639,0,2564,1070,0,7,8,0,0,0,0,-9
2016/7/4,19:00,3534,0,2574,1002,0,7,1,0,0,0,0,-50
2016/7/4,20:00,3347,0,2446,927,0,7,0,0,3,0,0,-36
2016/7/4,21:00,3170,0,2314,920,0,7,0,0,11,0,0,-82
2016/7/4,22:00,3047,0,2304,916,0,6,0,0,9,0,0,-189
2016/7/4,23:00,2936,0,2282,945,0,7,0,0,13,0,0,-310
2016/7/5,0:00,2776,0,2231,886,0,7,0,0,15,0,0,-362
2016/7/5,1:00,2758,0,2276,864,0,7,0,0,11,0,0,-399
2016/7/5,2:00,2893,0,2358,872,0,7,0,0,8,0,0,-352
2016/7/5,3:00,3024,0,2422,900,0,7,0,0,4,0,0,-309
2016/7/5,4:00,2967,0,2419,859,0,7,1,0,1,0,0,-319
2016/7/5,5:00,2838,0,2390,781,0,7,8,0,1,0,0,-348
