※データは速報値であり、推計値などが含まれます,,,,,,,,,,,,,
※データは過去にさかのぼり修正する場合があります,,,,,,,,,,,,,
※四捨五入の関係で合計が合わないことがあります,,,,,,,,,,,,,
※例えば、0:00の実績値は、0時00分から1時00分までの1時間平均値を示します,,,,,,,,,,,,,
※エリア需要において太陽光の自家消費分は需要減少として表れています,,,,,,,,,,,,,
,,エリア需要,原子力,火力,水力,地熱,バイオマス,太陽光実績,太陽光抑制量,風力実績,風力抑制量,揚水,連系線
DATE,TIME,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh
2016/10/1,0:00,2630,0,2032,1140,0,13,0,0,2,0,-91,-466
2016/10/1,1:00,2616,0,2054,1141,0,13,0,0,7,0,-123,-475
2016/10/1,2:00,2757,0,2077,1203,0,13,0,0,1,0,-123,-414
2016/10/1,3:00,2910,0,2085,1235,0,13,0,0,4,0,-92,-335
2016/10/1,4:00,2875,0,2025,1208,0,13,0,0,8,0,0,-380
2016/10/1,5:00,2711,0,1839,1225,0,13,0,0,9,0,0,-376
2016/10/1,6:00,2581,0,1700,1154,0,13,6,0,10,0,0,-303
2016/10/1,7:00,2614,0,1872,1091,0,13,37,0,11,0,0,-410
2016/10/1,8:00,2770,0,2143,1002,0,13,99,0,8,0,0,-495
2016/10/1,9:00,2913,0,2024,989,0,13,204,0,7,0,0,-324
2016/10/1,10:00,2989,0,2096,1057,0,13,308,0,6,0,0,-491
2016/10/1,11:00,3042,0,2049,1120,0,13,387,0,6,0,0,-532
2016/10/1,12:00,2953,0,2110,919,0,13,399,0,4,0,0,-493
2016/10/1,13:00,3024,0,2124,1077,0,13,335,0,2,0,0,-527
2016/10/1,14:00,3005,0,2193,1103,0,13,217,0,2,0,0,-523
2016/10/1,15:00,2968,0,2200,1231,0,13,132,0,4,0,0,-611
2016/10/1,16:00,2968,0,2197,1286,0,13,49,0,3,0,0,-581
2016/10/1,17:00,2976,0,2198,1264,0,13,4,0,5,0,0,-507
2016/10/1,18:00,3002,0,2180,1064,0,13,0,0,10,0,0,-266
2016/10/1,19:00,2895,0,2117,1146,0,13,0,0,13,0,0,-394
2016/10/1,20:00,2783,0,2163,1148,0,13,0,0,12,0,0,-553
2016/10/1,21:00,2634,0,2097,1123,0,13,0,0,10,0,0,-609
2016/10/1,22:00,2528,0,1988,1214,0,13,0,0,11,0,0,-697
2016/10/1,23:00,2455,0,2012,1180,0,13,0,0,6,0,0,-756
2016/10/2,0:00,2349,0,1900,1118,0,13,0,0,3,0,0,-684
2016/10/2,1:00,2334,0,1909,1078,0,13,0,0,1,0,0,-667
2016/10/2,2:00,2491,0,2030,1097,0,13,0,0,0,0,0,-649
2016/10/2,3:00,2645,0,2039,1107,0,13,0,0,0,0,0,-514
2016/10/2,4:00,2617,0,1990,1109,0,13,0,0,0,0,0,-495
2016/10/2,5:00,2454,0,1995,1078,0,13,1,0,1,0,0,-633
2016/10/2,6:00,2301,0,1923,994,0,13,19,0,5,0,0,-652
2016/10/2,7:00,2312,0,1915,909,0,13,113,0,9,0,0,-646
2016/10/2,8:00,2385,0,1929,895,0,13,230,0,8,0,0,-688
2016/10/2,9:00,2555,0,1957,890,0,13,341,0,10,0,0,-655
2016/10/2,10:00,2683,0,2004,1048,0,13,410,0,3,0,0,-794
2016/10/2,11:00,2752,0,2037,1048,0,13,420,0,1,0,0,-766
2016/10/2,12:00,2795,0,2090,882,0,13,417,0,1,0,0,-606
2016/10/2,13:00,2788,0,2137,881,0,13,364,0,0,0,0,-607
2016/10/2,14:00,2754,0,2159,877,0,13,261,0,3,0,0,-560
2016/10/2,15:00,2753,0,2193,888,0,13,161,0,5,0,0,-506
2016/10/2,16:00,2771,0,2198,982,0,13,65,0,8,0,0,-494
2016/10/2,17:00,2884,0,2194,1131,0,13,7,0,14,0,0,-474
2016/10/2,18:00,2969,0,2193,1129,0,13,0,0,18,0,0,-385
2016/10/2,19:00,2863,0,2159,1124,0,13,0,0,21,0,0,-455
2016/10/2,20:00,2762,0,2159,975,0,13,0,0,23,0,0,-407
2016/10/2,21:00,2678,0,2164,944,0,13,0,0,25,0,0,-468
2016/10/2,22:00,2555,0,2154,961,0,13,0,0,26,0,0,-598
2016/10/2,23:00,2496,0,2017,962,0,13,0,0,21,0,0,-517
2016/10/3,0:00,2395,0,1873,1010,0,13,0,0,18,0,0,-519
2016/10/3,1:00,2416,0,1943,890,0,13,0,0,13,0,0,-444
2016/10/3,2:00,2573,0,2111,851,0,13,0,0,8,0,0,-410
2016/10/3,3:00,2753,0,2155,987,0,13,0,0,8,0,0,-410
2016/10/3,4:00,2756,0,2158,1060,0,13,0,0,8,0,0,-484
2016/10/3,5:00,2648,0,2155,979,0,13,0,0,11,0,0,-510
2016/10/3,6:00,2681,0,2153,914,0,13,15,0,14,0,0,-428
2016/10/3,7:00,2863,0,2153,858,0,13,46,0,13,0,0,-220
2016/10/3,8:00,3267,0,2323,861,0,13,82,0,15,0,0,-26
2016/10/3,9:00,3646,0,2500,1099,0,13,100,0,16,0,0,-81
2016/10/3,10:00,3817,0,2584,1184,0,13,106,0,17,0,0,-88
2016/10/3,11:00,3894,0,2747,1163,0,12,93,0,38,0,0,-159
2016/10/3,12:00,3661,0,2749,952,0,13,79,0,45,0,0,-177
2016/10/3,13:00,3890,0,2820,1244,0,13,74,0,65,0,0,-325
2016/10/3,14:00,3938,0,2895,1238,0,13,106,0,71,0,0,-385
2016/10/3,15:00,3903,0,2910,1449,0,13,88,0,63,0,0,-619
2016/10/3,16:00,3866,0,2886,1435,0,13,38,0,51,0,0,-556
2016/10/3,17:00,3769,0,2690,1279,0,13,3,0,56,0,0,-271
2016/10/3,18:00,3716,0,2525,1204,0,13,0,0,62,0,0,-89
2016/10/3,19:00,3485,0,2372,1119,0,13,0,0,56,0,0,-76
2016/10/3,20:00,3281,0,2240,996,0,13,0,0,52,0,0,-20
