※データは速報値であり、推計値などが含まれます,,,,,,,,,,,,,,
※データは過去にさかのぼり修正する場合があります,,,,,,,,,,,,,,
※四捨五入の関係で合計が合わないことがあります,,,,,,,,,,,,,,
※例えば、0:00の実績値は、0時00分から1時00分までの1時間平均値を示します,,,,,,,,,,,,,,
,,エリア需要,原子力,火力,水力,地熱,バイオマス,太陽光実績,太陽光抑制量,風力実績,風力抑制量,揚水,連系線,
DATE,TIME,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,
2017/4/1,0:00,3290,0,2369,669,,10,0,0,43,0,0,199,
2017/4/1,1:00,3394,0,2349,717,,10,0,0,45,0,0,274,
2017/4/1,2:00,3595,0,2385,869,,10,0,0,44,0,0,288,
2017/4/1,3:00,3703,0,2352,1000,,10,0,0,44,0,0,298,
2017/4/1,4:00,3669,0,2355,922,,10,0,0,38,0,0,344,
2017/4/1,5:00,3531,0,2353,807,,10,1,0,38,0,0,323,
2017/4/1,6:00,3342,0,2343,574,,10,23,0,38,0,0,355,
2017/4/1,7:00,3184,0,2260,562,,10,74,0,38,0,0,241,
2017/4/1,8:00,3292,0,2335,563,,10,145,0,44,0,0,196,
2017/4/1,9:00,3369,0,2365,567,,10,210,0,41,0,0,177,
2017/4/1,10:00,3377,0,2429,503,,10,242,0,36,0,0,158,
2017/4/1,11:00,3348,0,2300,460,,10,312,0,34,0,0,233,
2017/4/1,12:00,3185,0,2018,396,,10,363,0,34,0,0,365,
2017/4/1,13:00,3161,0,1920,394,,10,332,0,33,0,0,472,
2017/4/1,14:00,3093,0,1959,437,,10,285,0,38,0,0,365,
2017/4/1,15:00,3048,0,1931,453,,10,242,0,36,0,0,376,
2017/4/1,16:00,3093,0,2089,481,,10,145,0,34,0,0,335,
2017/4/1,17:00,3180,0,2179,575,,10,44,0,26,0,0,346,
2017/4/1,18:00,3349,0,2196,631,,10,1,0,17,0,0,494,
2017/4/1,19:00,3364,0,2208,535,,10,0,0,17,0,0,595,
2017/4/1,20:00,3270,0,2178,518,,10,0,0,21,0,0,544,
2017/4/1,21:00,3163,0,2192,545,,10,0,0,19,0,0,398,
2017/4/1,22:00,3139,0,2133,570,,10,0,0,16,0,0,410,
2017/4/1,23:00,3167,0,2124,560,,10,0,0,15,0,0,457,
2017/4/2,0:00,3127,0,2220,534,,10,0,0,14,0,0,350,
2017/4/2,1:00,3277,0,2181,497,,10,0,0,13,0,0,576,
2017/4/2,2:00,3473,0,2251,598,,10,0,0,13,0,0,602,
2017/4/2,3:00,3550,0,2272,733,,10,0,0,14,0,0,521,
2017/4/2,4:00,3502,0,2326,848,,10,0,0,14,0,0,304,
2017/4/2,5:00,3317,0,2196,892,,10,2,0,15,0,0,202,
2017/4/2,6:00,3121,0,2017,618,,10,47,0,13,0,0,417,
2017/4/2,7:00,2861,0,1781,448,,10,160,0,7,0,0,456,
2017/4/2,8:00,2736,0,1641,486,,10,290,0,14,0,0,296,
2017/4/2,9:00,2771,0,1548,415,,10,405,0,15,0,0,377,
2017/4/2,10:00,2734,0,1484,461,,10,488,0,15,0,0,276,
2017/4/2,11:00,2705,0,1441,503,,10,513,0,21,0,0,218,
2017/4/2,12:00,2679,0,1555,402,,10,513,0,22,0,0,178,
2017/4/2,13:00,2637,0,1514,414,,10,479,0,24,0,0,196,
2017/4/2,14:00,2613,0,1436,448,,10,406,0,23,0,0,291,
