※データは速報値であり、推計値などが含まれます,,,,,,,,,,,,,
※データは過去にさかのぼり修正する場合があります,,,,,,,,,,,,,
※四捨五入の関係で合計が合わないことがあります,,,,,,,,,,,,,
※例えば、0:00の実績値は、0時00分から1時00分までの1時間平均値を示します,,,,,,,,,,,,,
,,エリア需要,原子力,火力,水力,地熱,バイオマス,太陽光実績,太陽光抑制量,風力実績,風力抑制量,揚水,連系線
DATE,TIME,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh
2019/3/1,0:00,3373,0,2278,737,,8,0,0,5,0,0,345
2019/3/1,1:00,3482,0,2349,790,,8,0,0,4,0,0,331
2019/3/1,2:00,3690,0,2410,936,,8,0,0,2,0,0,334
2019/3/1,3:00,3817,0,2508,925,,8,0,0,0,0,49,327
2019/3/1,4:00,3828,0,2681,841,,8,0,0,0,0,0,297
2019/3/1,5:00,3771,0,2721,714,,8,0,0,0,0,0,327
2019/3/1,6:00,3771,0,2715,773,,8,7,0,0,0,0,267
2019/3/1,7:00,3689,0,2604,758,,8,79,0,0,0,0,240
2019/3/1,8:00,3831,0,2537,651,,8,194,0,0,0,0,440
2019/3/1,9:00,3874,0,2350,541,,8,356,0,0,0,0,618
2019/3/1,10:00,3804,0,1989,520,,8,442,0,4,0,0,841
2019/3/1,11:00,3768,0,1913,525,,8,512,0,5,0,-120,925
2019/3/1,12:00,3488,0,1881,454,,8,403,0,9,0,-124,857
2019/3/1,13:00,3690,0,2075,517,,9,285,0,17,0,-124,911
2019/3/1,14:00,3715,0,2061,456,,9,276,0,20,0,0,894
2019/3/1,15:00,3717,0,2194,507,,9,217,0,22,0,0,769
2019/3/1,16:00,3758,0,2532,553,,9,115,0,19,0,0,531
2019/3/1,17:00,3752,0,2770,638,,9,22,0,24,0,26,263
2019/3/1,18:00,3806,0,2888,830,,9,0,0,21,0,49,8
2019/3/1,19:00,3703,0,2803,787,,9,0,0,22,0,49,33
2019/3/1,20:00,3627,0,2716,772,,9,0,0,15,0,27,88
2019/3/1,21:00,3543,0,2706,712,,9,0,0,9,0,0,107
2019/3/1,22:00,3508,0,2614,813,,8,0,0,8,0,0,65
2019/3/1,23:00,3533,0,2481,880,,8,0,0,9,0,1,153
2019/3/2,0:00,3473,0,2558,955,,8,0,0,11,0,9,-68
2019/3/2,1:00,3569,0,2627,1027,,8,0,0,12,0,50,-154
2019/3/2,2:00,3745,0,2708,1113,,8,0,0,9,0,88,-181
2019/3/2,3:00,3829,0,2776,1119,,8,0,0,4,0,89,-168
2019/3/2,4:00,3792,0,2895,972,,8,0,0,2,0,89,-174
2019/3/2,5:00,3618,0,2940,773,,8,0,0,2,0,70,-175
2019/3/2,6:00,3519,0,2938,775,,8,8,0,0,0,3,-212
2019/3/2,7:00,3393,0,2866,712,,8,112,0,0,0,0,-304
2019/3/2,8:00,3327,0,2432,696,,8,285,0,0,0,0,-94
2019/3/2,9:00,3320,0,2270,640,,8,461,0,0,0,0,-59
2019/3/2,10:00,3204,0,2116,499,,8,572,0,0,0,0,8
2019/3/2,11:00,3125,0,2142,493,,8,629,0,1,0,-122,-27
2019/3/2,12:00,2969,0,2031,460,,8,647,0,6,0,-124,-59
2019/3/2,13:00,2961,0,2002,501,,8,610,0,9,0,-124,-45
2019/3/2,14:00,2928,0,2036,522,,8,508,0,10,0,-124,-32
2019/3/2,15:00,2918,0,2101,518,,8,353,0,7,0,0,-69
2019/3/2,16:00,3003,0,2430,604,,8,164,0,8,0,0,-211
2019/3/2,17:00,3160,0,2663,875,,8,26,0,5,0,0,-415
2019/3/2,18:00,3318,0,2782,858,,8,0,0,3,0,0,-334
2019/3/2,19:00,3292,0,2770,816,,8,0,0,7,0,0,-310
2019/3/2,20:00,3252,0,2776,727,,8,0,0,5,0,0,-264
2019/3/2,21:00,3157,0,2723,669,,8,0,0,4,0,0,-247
2019/3/2,22:00,3144,0,2691,771,,8,0,0,7,0,0,-333
2019/3/2,23:00,3151,0,2581,807,,8,0,0,11,0,0,-255
2019/3/3,0:00,3120,0,2524,714,,8,0,0,17,0,0,-143
2019/3/3,1:00,3230,0,2485,874,,8,0,0,22,0,2,-161
2019/3/3,2:00,3441,0,2531,980,,8,0,0,26,0,74,-177
2019/3/3,3:00,3546,0,2639,968,,8,0,0,29,0,74,-171
2019/3/3,4:00,3517,0,2656,964,,8,0,0,27,0,33,-171
2019/3/3,5:00,3326,0,2573,885,,8,0,0,28,0,0,-168
2019/3/3,6:00,3126,0,2490,820,,8,6,0,30,0,0,-228
2019/3/3,7:00,2981,0,2576,633,,8,67,0,29,0,0,-333
2019/3/3,8:00,2923,0,2599,461,,8,175,0,21,0,0,-340
2019/3/3,9:00,2949,0,2496,485,,8,328,0,22,0,0,-388
2019/3/3,10:00,2832,0,2259,434,,8,477,0,16,0,0,-363
2019/3/3,11:00,2818,0,2343,425,,8,404,0,7,0,0,-369
2019/3/3,12:00,2749,0,2155,422,,8,448,0,2,0,0,-286
2019/3/3,13:00,2718,0,2135,471,,8,372,0,0,0,0,-269
2019/3/3,14:00,2693,0,2254,436,,8,267,0,1,0,0,-273
2019/3/3,15:00,2737,0,2397,470,,8,165,0,1,0,0,-303
2019/3/3,16:00,2854,0,2493,666,,8,70,0,6,0,0,-389
2019/3/3,17:00,3072,0,2613,673,,8,13,0,15,0,0,-249
2019/3/3,18:00,3191,0,2731,635,,8,0,0,18,0,0,-202
2019/3/3,19:00,3166,0,2776,659,,8,0,0,24,0,0,-302
2019/3/3,20:00,3106,0,2737,627,,8,0,0,29,0,0,-294
2019/3/3,21:00,2972,0,2626,611,,8,0,0,30,0,0,-303
2019/3/3,22:00,2965,0,2487,603,,8,0,0,30,0,0,-162
2019/3/3,23:00,2996,0,2345,699,,8,0,0,32,0,0,-88
2019/3/4,0:00,2958,0,2298,503,,8,0,0,39,0,0,111
2019/3/4,1:00,3094,0,2302,648,,8,0,0,43,0,0,92
2019/3/4,2:00,3312,0,2303,859,,8,0,0,44,0,0,98
2019/3/4,3:00,3464,0,2410,954,,8,0,0,34,0,0,57
2019/3/4,4:00,3529,0,2549,874,,8,0,0,33,0,0,65
2019/3/4,5:00,3488,0,2656,702,,8,0,0,37,0,0,84
2019/3/4,6:00,3465,0,2607,736,,8,2,0,34,0,0,78
2019/3/4,7:00,3530,0,2558,824,,8,14,0,32,0,0,94
2019/3/4,8:00,3840,0,2551,952,,8,34,0,29,0,0,265
2019/3/4,9:00,4058,0,2689,1031,,8,53,0,25,0,0,252
2019/3/4,10:00,4050,0,2696,901,,8,92,0,23,0,0,331
2019/3/4,11:00,4036,0,2602,907,,8,105,0,29,0,0,385
2019/3/4,12:00,3796,0,2597,687,,8,89,0,45,0,0,371
2019/3/4,13:00,4010,0,2663,798,,8,72,0,55,0,0,415
2019/3/4,14:00,4046,0,2727,782,,8,68,0,52,0,0,409
2019/3/4,15:00,4018,0,2688,839,,8,54,0,36,0,1,392
2019/3/4,16:00,4076,0,2656,960,,8,28,0,28,0,49,346
2019/3/4,17:00,4041,0,2604,966,,8,6,0,24,0,89,344
2019/3/4,18:00,4039,0,2587,1002,,8,0,0,30,0,89,322
2019/3/4,19:00,3884,0,2588,901,,8,0,0,17,0,88,282
2019/3/4,20:00,3765,0,2589,820,,8,0,0,12,0,89,247
2019/3/4,21:00,3582,0,2591,716,,8,0,0,9,0,44,213
2019/3/4,22:00,3524,0,2567,704,,8,0,0,13,0,0,233
2019/3/4,23:00,3492,0,2567,717,,8,0,0,23,0,0,177
2019/3/5,0:00,3395,0,2486,732,,8,0,0,25,0,0,144
2019/3/5,1:00,3549,0,2370,1023,,8,0,0,20,0,0,128
2019/3/5,2:00,3758,0,2404,1202,,8,0,0,11,0,0,133
2019/3/5,3:00,3896,0,2539,1218,,8,0,0,7,0,0,124
2019/3/5,4:00,3922,0,2604,1160,,8,0,0,4,0,0,146
2019/3/5,5:00,3844,0,2656,1035,,8,0,0,4,0,0,141
2019/3/5,6:00,3833,0,2640,960,,8,9,0,3,0,85,128
2019/3/5,7:00,3738,0,2604,795,,8,105,0,1,0,32,193
2019/3/5,8:00,3844,0,2413,777,,8,272,0,0,0,0,375
2019/3/5,9:00,3922,0,2365,727,,8,442,0,0,0,0,381
2019/3/5,10:00,3837,0,2226,590,,8,557,0,0,0,0,457
2019/3/5,11:00,3748,0,2007,560,,8,642,0,1,0,0,530
2019/3/5,12:00,3464,0,1880,554,,8,633,0,2,0,-120,507
2019/3/5,13:00,3608,0,1951,583,,8,608,0,3,0,-124,578
2019/3/5,14:00,3577,0,1967,614,,8,488,0,3,0,-22,519
2019/3/5,15:00,3536,0,2103,635,,8,341,0,1,0,0,448
2019/3/5,16:00,3608,0,2397,723,,9,151,0,0,0,0,329
2019/3/5,17:00,3675,0,2670,883,,8,24,0,1,0,0,90
2019/3/5,18:00,3772,0,2711,1041,,9,0,0,2,0,0,10
2019/3/5,19:00,3679,0,2707,934,,8,0,0,7,0,0,23
2019/3/5,20:00,3604,0,2659,866,,8,0,0,8,0,0,63
2019/3/5,21:00,3472,0,2528,836,,9,0,0,5,0,0,94
2019/3/5,22:00,3412,0,2505,684,,8,0,0,5,0,0,210
2019/3/5,23:00,3416,0,2436,758,,8,0,0,7,0,0,207
2019/3/6,0:00,3329,0,2379,766,,8,0,0,10,0,0,166
2019/3/6,1:00,3462,0,2336,978,,8,0,0,14,0,0,125
2019/3/6,2:00,3671,0,2359,1118,,8,0,0,15,0,50,121
2019/3/6,3:00,3815,0,2543,1092,,8,0,0,13,0,49,111
2019/3/6,4:00,3827,0,2703,971,,8,0,0,17,0,0,127
2019/3/6,5:00,3722,0,2722,842,,8,0,0,23,0,0,127
2019/3/6,6:00,3693,0,2682,819,,8,10,0,25,0,0,149
2019/3/6,7:00,3631,0,2687,751,,8,73,0,15,0,0,97
2019/3/6,8:00,3837,0,2730,678,,8,163,0,16,0,0,242
2019/3/6,9:00,3949,0,2757,705,,8,231,0,18,0,0,230
2019/3/6,10:00,3869,0,2763,595,,8,277,0,22,0,0,204
2019/3/6,11:00,3802,0,2706,550,,8,314,0,34,0,0,191
2019/3/6,12:00,3533,0,2443,503,,8,286,0,50,0,0,244
2019/3/6,13:00,3691,0,2649,582,,8,288,0,53,0,0,110
2019/3/6,14:00,3661,0,2631,613,,8,242,0,45,0,0,122
2019/3/6,15:00,3695,0,2805,620,,8,115,0,23,0,0,123
2019/3/6,16:00,3735,0,2849,862,,8,50,0,11,0,0,-44
2019/3/6,17:00,3723,0,2841,840,,8,7,0,18,0,25,-16
