DATE,TIME,elec,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh
4/1/2016,0:00,2929,0,2395,661,0,10,0,0,12,0,0,-148
4/1/2016,1:00,3072,0,2349,714,0,10,0,0,9,0,0,-10
4/1/2016,2:00,3265,0,2472,842,0,10,0,0,8,0,0,-67
4/1/2016,3:00,3371,0,2520,845,0,10,0,0,16,0,0,-20
4/1/2016,4:00,3392,0,2503,869,0,10,0,0,25,0,0,-15
4/1/2016,5:00,3317,0,2506,784,0,10,2,0,31,0,0,-15
4/1/2016,6:00,3222,0,2498,678,0,10,26,0,38,0,0,-28
4/1/2016,7:00,3095,0,2367,612,0,10,90,0,33,0,0,-18
4/1/2016,8:00,3208,0,2383,638,0,10,181,0,25,0,0,-27
4/1/2016,9:00,3360,0,2431,693,0,10,275,0,21,0,0,-68
4/1/2016,10:00,3380,0,2405,677,0,10,331,0,23,0,0,-66
4/1/2016,11:00,3404,0,2360,698,0,10,361,0,28,0,0,-51
4/1/2016,12:00,3166,0,2149,725,0,10,312,0,29,0,0,-59
4/1/2016,13:00,3337,0,2355,749,0,10,239,0,25,0,0,-41
4/1/2016,14:00,3356,0,2400,733,0,10,178,0,23,0,0,12
4/1/2016,15:00,3300,0,2381,726,0,10,142,0,20,0,0,22
4/1/2016,16:00,3276,0,2275,869,0,10,85,0,18,0,0,19
4/1/2016,17:00,3215,0,2239,914,0,10,25,0,19,0,0,9
4/1/2016,18:00,3282,0,2251,1005,0,10,1,0,25,0,0,-10
4/1/2016,19:00,3216,0,2239,933,0,10,0,0,29,0,0,5
4/1/2016,20:00,3084,0,2170,878,0,10,0,0,29,0,0,-2
4/1/2016,21:00,2967,0,2154,786,0,10,0,0,23,0,0,-5
4/1/2016,22:00,2923,0,2160,836,0,10,0,0,8,0,0,-91
4/1/2016,23:00,2879,0,2161,830,0,10,0,0,7,0,0,-129
4/2/2016,0:00,2837,0,2127,798,0,10,0,0,8,0,0,-106
4/2/2016,1:00,2934,0,2189,842,0,10,0,0,9,0,0,-116
4/2/2016,2:00,3155,0,2277,982,0,10,0,0,2,0,0,-115
4/2/2016,3:00,3239,0,2345,998,0,10,0,0,0,0,0,-114
4/2/2016,4:00,3244,0,2361,994,0,10,0,0,0,0,0,-121
4/2/2016,5:00,3104,0,2305,919,0,10,2,0,0,0,0,-132
4/2/2016,6:00,2899,0,2190,796,0,9,27,0,0,0,0,-123
4/2/2016,7:00,2742,0,2067,729,0,10,99,0,0,0,0,-163
4/2/2016,8:00,2751,0,2063,644,0,10,190,0,0,0,0,-155
4/2/2016,9:00,2821,0,2047,667,0,10,277,0,0,0,0,-181
4/2/2016,10:00,2814,0,2034,646,0,10,338,0,0,0,0,-213
4/2/2016,11:00,2784,0,1983,661,0,10,377,0,0,0,0,-247
4/2/2016,12:00,2673,0,1908,623,0,10,358,0,0,0,0,-226
4/2/2016,13:00,2704,0,1979,594,0,10,310,0,0,0,0,-188
4/2/2016,14:00,2701,0,1970,630,0,10,280,0,2,0,0,-191
4/2/2016,15:00,2669,0,1968,666,0,10,194,0,3,0,0,-171
4/2/2016,16:00,2671,0,1962,739,0,10,111,0,2,0,0,-153
4/2/2016,17:00,2683,0,2007,769,0,10,28,0,0,0,0,-132
4/2/2016,18:00,2802,0,2010,958,0,10,1,0,3,0,0,-180
4/2/2016,19:00,2778,0,2009,936,0,10,0,0,8,0,0,-185
4/2/2016,20:00,2686,0,1972,822,0,9,0,0,13,0,0,-130
4/2/2016,21:00,2563,0,1925,750,0,10,0,0,15,0,0,-137
4/2/2016,22:00,2542,0,1905,732,0,10,0,0,19,0,0,-124
4/2/2016,23:00,2506,0,1856,727,0,10,0,0,23,0,0,-110
4/3/2016,0:00,2455,0,1933,762,0,10,0,0,29,0,0,-279
4/3/2016,1:00,2559,0,1954,855,0,10,0,0,39,0,0,-300
4/3/2016,2:00,2776,0,1957,1061,0,10,1,0,43,0,0,-296
4/3/2016,3:00,2850,0,1967,1138,0,10,1,0,36,0,0,-301
4/3/2016,4:00,2862,0,2006,1110,0,10,1,0,36,0,0,-300
4/3/2016,5:00,2676,0,1947,930,0,10,1,0,34,0,0,-246
4/3/2016,6:00,2463,0,1734,845,0,10,20,0,33,0,0,-178
4/3/2016,7:00,2293,0,1580,796,0,10,63,0,27,0,0,-183
4/3/2016,8:00,2298,0,1533,816,0,10,112,0,22,0,0,-196
4/3/2016,9:00,2359,0,1571,810,0,10,143,0,26,0,0,-201
4/3/2016,10:00,2407,0,1517,849,0,9,155,0,35,0,0,-157
4/3/2016,11:00,2416,0,1628,789,0,10,143,0,25,0,0,-179
4/3/2016,12:00,2401,0,1635,750,0,10,140,0,15,0,0,-149
4/3/2016,13:00,2409,0,1620,754,0,10,149,0,14,0,0,-138
4/3/2016,14:00,2382,0,1644,754,0,10,100,0,7,0,0,-132
4/3/2016,15:00,2420,0,1690,798,0,10,41,0,5,0,0,-123
4/3/2016,16:00,2473,0,1769,830,0,10,17,0,8,0,0,-160
4/3/2016,17:00,2616,0,1871,850,0,10,4,0,9,0,0,-128
4/3/2016,18:00,2750,0,1982,876,0,10,1,0,8,0,0,-126
4/3/2016,19:00,2716,0,1983,862,0,10,1,0,5,0,0,-144
4/3/2016,20:00,2661,0,1919,852,0,10,1,0,3,0,0,-124
4/3/2016,21:00,2530,0,1766,870,0,10,1,0,11,0,0,-126
4/3/2016,22:00,2461,0,1685,858,0,10,1,0,8,0,0,-99
4/3/2016,23:00,2441,0,1675,861,0,10,1,0,2,0,0,-108
4/4/2016,0:00,2414,0,1767,880,0,10,1,0,4,0,0,-246
4/4/2016,1:00,2565,0,1758,975,0,10,1,0,22,0,0,-201
4/4/2016,2:00,2807,0,1850,1068,0,10,1,0,40,0,0,-161
4/4/2016,3:00,2914,0,1969,1067,0,10,1,0,56,0,0,-188
4/4/2016,4:00,2954,0,2038,1045,0,10,1,0,65,0,0,-204
4/4/2016,5:00,2877,0,2029,963,0,10,1,0,64,0,0,-189
4/4/2016,6:00,2849,0,1975,989,0,10,3,0,62,0,0,-189
4/4/2016,7:00,2932,0,1954,1051,0,10,13,0,55,0,0,-151
4/4/2016,8:00,3298,0,2185,1140,0,10,31,0,51,0,0,-118
4/4/2016,9:00,3540,0,2252,1257,0,10,49,0,40,0,0,-67
4/4/2016,10:00,3631,0,2387,1345,0,10,40,0,41,0,0,-192
4/4/2016,11:00,3647,0,2376,1378,0,10,51,0,31,0,0,-199
4/4/2016,12:00,3418,0,2286,1219,0,10,54,0,18,0,0,-168
4/4/2016,13:00,3631,0,2367,1379,0,10,40,0,8,0,0,-171
4/4/2016,14:00,3645,0,2439,1342,0,10,31,0,9,0,0,-185
4/4/2016,15:00,3606,0,2499,1228,0,10,27,0,11,0,0,-168
4/4/2016,16:00,3604,0,2496,1246,0,10,16,0,10,0,0,-173
4/4/2016,17:00,3558,0,2496,1219,0,10,5,0,10,0,0,-183
4/4/2016,18:00,3599,0,2483,1239,0,10,1,0,10,0,0,-144
4/4/2016,19:00,3476,0,2375,1199,0,10,0,0,7,0,0,-115
4/4/2016,20:00,3302,0,2287,1179,0,10,0,0,6,0,0,-180
4/4/2016,21:00,3165,0,2179,1160,0,10,0,0,6,0,0,-191
4/4/2016,22:00,3099,0,2102,1140,0,10,0,0,7,0,0,-160
4/4/2016,23:00,3052,0,2094,1136,0,10,0,0,6,0,0,-194
4/5/2016,0:00,2942,0,2004,1063,0,10,0,0,6,0,0,-140
4/5/2016,1:00,3048,0,2061,1101,0,10,0,0,6,0,0,-131
4/5/2016,2:00,3247,0,2148,1202,0,10,0,0,6,0,0,-119
4/5/2016,3:00,3341,0,2223,1241,0,10,0,0,5,0,0,-137
4/5/2016,4:00,3318,0,2190,1247,0,10,0,0,4,0,0,-134
4/5/2016,5:00,3250,0,2173,1185,0,10,1,0,4,0,0,-122
4/5/2016,6:00,3180,0,2135,1134,0,10,13,0,5,0,0,-117
4/5/2016,7:00,3174,0,2107,1081,0,10,55,0,4,0,0,-83
4/5/2016,8:00,3372,0,2125,1095,0,10,120,0,1,0,0,21
4/5/2016,9:00,3552,0,2187,1170,0,10,226,0,0,0,0,-41
4/5/2016,10:00,3511,0,2226,1097,0,10,271,0,3,0,0,-95
4/5/2016,11:00,3491,0,2209,1062,0,10,330,0,7,0,0,-127
4/5/2016,12:00,3216,0,2156,921,0,10,350,0,11,0,0,-231
4/5/2016,13:00,3384,0,2159,967,0,10,342,0,16,0,0,-110
4/5/2016,14:00,3338,0,2160,988,0,10,272,0,17,0,0,-109
4/5/2016,15:00,3335,0,2126,1045,0,10,226,0,19,0,0,-91
4/5/2016,16:00,3340,0,2221,1057,0,10,130,0,18,0,0,-96
4/5/2016,17:00,3280,0,2243,1060,0,10,41,0,17,0,0,-91
4/5/2016,18:00,3386,0,2258,1172,0,10,1,0,25,0,0,-79
4/5/2016,19:00,3344,0,2243,1124,0,10,0,0,35,0,0,-68
4/5/2016,20:00,3224,0,2193,1057,0,10,0,0,31,0,0,-66
