DATE_TIME,elec
2017/4/1 0:00,14900
2017/4/1 1:00,14599
2017/4/1 2:00,14767
2017/4/1 3:00,14755
2017/4/1 4:00,14376
2017/4/1 5:00,13960
2017/4/1 6:00,14218
2017/4/1 7:00,15010
2017/4/1 8:00,16395
2017/4/1 9:00,17056
2017/4/1 10:00,16888
2017/4/1 11:00,16597
2017/4/1 12:00,15737
2017/4/1 13:00,15760
2017/4/1 14:00,15336
2017/4/1 15:00,15259
2017/4/1 16:00,15510
2017/4/1 17:00,16055
2017/4/1 18:00,17195
2017/4/1 19:00,17526
2017/4/1 20:00,17132
2017/4/1 21:00,16477
2017/4/1 22:00,15729
2017/4/1 23:00,15060
2017/4/2 0:00,14164
2017/4/2 1:00,13984
2017/4/2 2:00,14309
2017/4/2 3:00,14321
2017/4/2 4:00,13960
2017/4/2 5:00,13423
2017/4/2 6:00,13262
2017/4/2 7:00,13245
2017/4/2 8:00,13486
2017/4/2 9:00,13813
2017/4/2 10:00,13822
2017/4/2 11:00,13610
2017/4/2 12:00,13402
2017/4/2 13:00,13172
2017/4/2 14:00,13040
2017/4/2 15:00,13371
2017/4/2 16:00,13933
2017/4/2 17:00,14996
2017/4/2 18:00,16407
2017/4/2 19:00,16850
2017/4/2 20:00,16602
2017/4/2 21:00,16118
2017/4/2 22:00,15277
2017/4/2 23:00,14516
2017/4/3 0:00,13827
2017/4/3 1:00,13751
2017/4/3 2:00,14178
2017/4/3 3:00,14373
2017/4/3 4:00,14214
2017/4/3 5:00,14156
2017/4/3 6:00,15207
2017/4/3 7:00,15879
2017/4/3 8:00,16914
2017/4/3 9:00,17733
2017/4/3 10:00,17657
2017/4/3 11:00,17525
2017/4/3 12:00,16317
2017/4/3 13:00,16970
2017/4/3 14:00,16986
2017/4/3 15:00,17023
2017/4/3 16:00,17366
2017/4/3 17:00,17524
2017/4/3 18:00,18187
2017/4/3 19:00,17985
2017/4/3 20:00,17364
2017/4/3 21:00,16842
2017/4/3 22:00,16189
2017/4/3 23:00,15205
2017/4/4 0:00,14364
2017/4/4 1:00,14194
2017/4/4 2:00,14657
2017/4/4 3:00,14784
2017/4/4 4:00,14677
2017/4/4 5:00,14566
2017/4/4 6:00,15247
2017/4/4 7:00,15720
2017/4/4 8:00,16839
2017/4/4 9:00,17415
2017/4/4 10:00,17237
2017/4/4 11:00,17164
2017/4/4 12:00,15993
2017/4/4 13:00,16750
2017/4/4 14:00,16651
2017/4/4 15:00,16585
2017/4/4 16:00,16870
2017/4/4 17:00,16940
