DATE_TIME,elec
2016-04-30,10600023
2016-05-31,10752014
2016-06-30,11200125
2016-07-31,13368729
2016-08-31,14011219
2016-09-30,12174676
2016-10-31,11266863
2016-11-30,11223879
2016-12-31,12642586
2017-01-31,13625010
2017-02-28,12572308
2017-03-31,12665153
2017-04-30,10783418
2017-05-31,10761967
2017-06-30,11008947
2017-07-31,13819131
2017-08-31,13838515
2017-09-30,11386303
2017-10-31,11186946
2017-11-30,11545176
2017-12-31,13513826
2018-01-31,14094852
2018-02-28,13043377
2018-03-31,12183495
2018-04-30,10593601
2018-05-31,10879376
2018-06-30,11395173
2018-07-31,14590635
2018-08-31,14342059
2018-09-30,11448530
2018-10-31,11105393
2018-11-30,11042056
2018-12-31,12733351
2019-01-31,13573770
2019-02-28,12233467
2019-03-31,12309199
2019-04-30,10979935
2019-05-31,10796626
2019-06-30,11262339
2019-07-31,12872823
2019-08-31,13929932
2019-09-30,12373517
2019-10-31,11066220
2019-11-30,10772939
2019-12-31,12440043
2020-01-31,12649978
2020-02-29,12281023
2020-03-31,11789526
