,,,,,,,ëæózåı,ëæózåı,ïóóÕ,ïóóÕ,,
DATE_TIME,ÉGÉäÉAé˘óvÅkMWhÅl,å¥éqóÕÅkMWhÅl,âŒóÕìôÅkMWhÅl,êÖóÕÅkMWhÅl,ínîMÅkMWhÅl,ÉoÉCÉIÉ}ÉXÅkMWhÅl,é¿ê—ÅkMWhÅl,ó}êßó ÅkMWhÅl,é¿ê—ÅkMWhÅl,ó}êßó ÅkMWhÅl,ógêÖìôÅkMWhÅl,òAånê¸ÅkMWhÅl
2019/4/1 0:00,7650,4143,3581,294,141,310,0,0,214,0,-21,-1012
2019/4/1 1:00,7742,4141,3735,265,141,306,0,0,225,0,-17,-1054
2019/4/1 2:00,8321,4141,4374,293,141,305,0,0,221,0,4,-1158
2019/4/1 3:00,8868,4143,4520,481,141,305,0,0,225,0,51,-998
2019/4/1 4:00,9204,4141,4564,568,141,302,0,0,238,0,144,-894
2019/4/1 5:00,9345,4142,4513,629,141,297,0,0,238,0,195,-810
2019/4/1 6:00,9758,4142,4498,600,141,274,127,0,238,0,460,-722
2019/4/1 7:00,9882,4141,4515,368,141,247,1246,0,241,0,245,-1262
2019/4/1 8:00,9848,4142,4289,298,141,240,2387,333.6,255,0,146,-2050
2019/4/1 9:00,10054,4142,3535,282,141,227,3483,456,256,0,316,-2328
2019/4/1 10:00,10057,4142,3228,273,141,228,4251,534.8,261,0,-51,-2416
2019/4/1 11:00,10300,4141,3249,260,141,228,5094,757.7,253,0,-612,-2454
2019/4/1 12:00,9925,4141,3099,272,141,230,5830,972.5,236,0,-1560,-2464
2019/4/1 13:00,9749,4141,3231,259,141,231,5813,963.8,230,0,-1805,-2492
2019/4/1 14:00,9474,4143,3347,257,141,227,5425,642.7,234,0,-1850,-2450
2019/4/1 15:00,9288,4143,3610,273,141,226,4350,480,224,0,-1547,-2132
2019/4/1 16:00,9592,4140,4297,285,141,233,3055,0,232,0,-761,-2030
2019/4/1 17:00,9997,4137,4734,353,141,237,1181,0,211,0,105,-1102
2019/4/1 18:00,10612,4139,5123,586,141,234,78,0,187,0,1242,-1118
2019/4/1 19:00,11016,4136,5431,693,141,240,0,0,166,0,1165,-956
2019/4/1 20:00,10777,4141,5385,623,141,237,0,0,155,0,1071,-976
2019/4/1 21:00,10405,4140,5334,558,141,236,0,0,140,0,1060,-1204
2019/4/1 22:00,9981,4141,5289,481,141,236,0,0,142,0,1159,-1608
2019/4/1 23:00,9385,4143,5232,309,141,240,0,0,152,0,430,-1262
2019/4/2 0:00,8728,4142,5027,281,141,241,0,0,149,0,-13,-1240
2019/4/2 1:00,8784,4139,4937,262,142,240,0,0,154,0,-10,-1080
2019/4/2 2:00,9307,4142,5260,294,142,239,0,0,155,0,197,-1122
2019/4/2 3:00,9759,4145,5289,465,142,241,0,0,143,0,472,-1138
2019/4/2 4:00,9929,4141,5301,618,141,238,0,0,119,0,503,-1132
2019/4/2 5:00,10082,4140,5374,655,142,236,0,0,100,0,491,-1056
2019/4/2 6:00,10398,4143,5419,507,142,240,157,0,81,0,677,-968
2019/4/2 7:00,10239,4143,4964,312,142,239,1207,0,66,0,50,-884
2019/4/2 8:00,10090,4143,3830,276,142,237,2272,318.8,58,0,0,-868
2019/4/2 9:00,10194,4142,3162,274,141,226,3712,491.9,60,0,-357,-1166
2019/4/2 10:00,9910,4142,3317,270,139,226,4337,566.2,73,0,-1052,-1542
2019/4/2 11:00,9917,4140,3322,249,142,228,4639,750,99,0,-456,-2446
2019/4/2 12:00,9558,4142,3236,248,140,227,5117,964.5,112,0,-1232,-2432
2019/4/2 13:00,9800,4140,3270,248,142,227,5279,855.2,115,0,-1191,-2430
