,,,,,,,ëæózåı,ëæózåı,ïóóÕ,ïóóÕ,,
DATE_TIME,ÉGÉäÉAé˘óvÅkMWhÅl,å¥éqóÕÅkMWhÅl,âŒóÕÅkMWhÅl,êÖóÕÅkMWhÅl,ínîMÅkMWhÅl,ÉoÉCÉIÉ}ÉXÅkMWhÅl,é¿ê—ÅkMWhÅl,ó}êßó ÅkMWhÅl,é¿ê—ÅkMWhÅl,ó}êßó ÅkMWhÅl,ógêÖìôÅkMWhÅl,òAånê¸ÅkMWhÅl
2020/1/1 0:00,9466,4142,6450,211,140,414,0,0,71,0,0,-1962
2020/1/1 1:00,9395,4144,6344,233,140,415,0,0,69,0,0,-1950
2020/1/1 2:00,9616,4143,6580,267,140,416,0,0,62,0,0,-1992
2020/1/1 3:00,9758,4144,6554,426,140,415,0,0,65,0,0,-1986
2020/1/1 4:00,9646,4142,6410,396,140,416,0,0,74,0,0,-1932
2020/1/1 5:00,9292,4145,6059,320,140,414,0,0,81,0,-1,-1866
2020/1/1 6:00,8837,4142,5507,281,139,414,0,0,94,0,102,-1842
2020/1/1 7:00,9183,4142,4939,235,140,412,136,0,101,0,942,-1864
2020/1/1 8:00,9573,4144,4415,258,140,416,1249,153,4,22,969,-2022
2020/1/1 9:00,8842,4144,3908,217,140,420,2649,356,1,31,-589,-2048
2020/1/1 10:00,8062,4144,2654,210,140,359,3952,526,0,30,-1461,-1936
2020/1/1 11:00,7585,4143,2482,206,140,355,4579,883,1,37,-2203,-2118
2020/1/1 12:00,7380,4144,2358,192,140,356,4378,1346,1,43,-2205,-1984
2020/1/1 13:00,7036,4145,2286,212,140,354,3997,1331,2,50,-2202,-1898
2020/1/1 14:00,6822,4144,2288,196,140,354,3583,717,2,49,-2079,-1806
2020/1/1 15:00,6957,4142,2448,220,140,394,2376,337,2,40,-969,-1796
2020/1/1 16:00,7683,4135,3146,268,140,428,890,0,26,0,484,-1834
2020/1/1 17:00,8840,4136,4892,489,140,428,19,0,52,0,776,-2092
2020/1/1 18:00,9469,4137,6038,712,140,417,0,0,71,0,116,-2162
2020/1/1 19:00,9519,4143,6195,693,140,413,0,0,69,0,20,-2154
2020/1/1 20:00,9541,4144,6252,613,140,415,0,0,67,0,64,-2154
2020/1/1 21:00,9430,4143,6250,325,140,412,0,0,59,0,147,-2046
2020/1/1 22:00,9189,4144,6192,221,140,410,0,0,55,0,91,-2064
2020/1/1 23:00,8905,4144,5943,207,140,412,0,0,53,0,20,-2014
2020/1/2 0:00,8457,4143,5448,183,140,413,0,0,57,0,21,-1948
2020/1/2 1:00,8423,4144,5240,212,140,414,0,0,75,0,152,-1954
2020/1/2 2:00,8753,4141,5299,286,140,413,0,0,72,0,376,-1974
2020/1/2 3:00,8998,4143,5199,356,140,410,0,0,67,0,657,-1974
2020/1/2 4:00,9007,4143,5121,361,140,414,0,0,51,0,701,-1924
2020/1/2 5:00,8724,4143,5120,304,140,414,0,0,63,0,374,-1834
2020/1/2 6:00,8509,4142,4894,277,140,412,0,0,61,0,427,-1844
2020/1/2 7:00,8910,4142,4413,347,140,410,118,0,59,0,1161,-1880
2020/1/2 8:00,9281,4143,3815,240,140,417,1126,106,54,0,1286,-1940
2020/1/2 9:00,8808,4144,3393,229,140,427,2429,251,56,0,-60,-1950
2020/1/2 10:00,8277,4143,2405,198,140,389,3560,374,67,0,-1183,-1442
2020/1/2 11:00,7900,4143,2337,206,140,354,3933,737,51,0,-1406,-1858
2020/1/2 12:00,7765,4143,2313,224,140,354,3901,1165,45,0,-1471,-1884
2020/1/2 13:00,7400,4142,2309,186,140,354,3817,1158,34,0,-1738,-1844
2020/1/2 14:00,7202,4143,2300,207,140,361,3345,694,34,0,-1508,-1820
2020/1/2 15:00,7250,4143,3018,191,140,417,2188,245,37,0,-1102,-1782
2020/1/2 16:00,7899,4143,3934,245,140,428,764,0,37,0,44,-1836
2020/1/2 17:00,8927,4136,4818,415,140,426,20,0,47,0,987,-2062
2020/1/2 18:00,9509,4134,6053,699,140,417,0,0,58,0,198,-2190
2020/1/2 19:00,9446,4134,6179,694,140,412,0,0,58,0,7,-2178
2020/1/2 20:00,9371,4145,6222,471,140,413,0,0,50,0,90,-2160
2020/1/2 21:00,9169,4145,6206,312,140,413,0,0,52,0,47,-2146
2020/1/2 22:00,8852,4144,5931,243,140,411,0,0,54,0,-5,-2066
2020/1/2 23:00,8509,4145,5556,198,140,414,0,0,62,0,-2,-2004
2020/1/3 0:00,8080,4142,5097,206,141,414,0,0,67,0,-5,-1982
2020/1/3 1:00,8098,4144,4888,192,141,415,0,0,60,0,224,-1966
2020/1/3 2:00,8514,4144,4898,252,141,414,0,0,53,0,604,-1992
2020/1/3 3:00,8826,4143,4922,324,141,413,0,0,61,0,814,-1992
2020/1/3 4:00,8847,4143,4911,311,141,413,0,0,58,0,802,-1932
2020/1/3 5:00,8566,4144,4918,300,141,413,0,0,71,0,449,-1870
2020/1/3 6:00,8293,4145,4845,262,141,411,0,0,72,0,275,-1858
2020/1/3 7:00,8605,4145,4464,331,141,410,77,0,73,0,862,-1898
2020/1/3 8:00,9048,4145,3845,290,141,417,783,0,69,0,1334,-1976
2020/1/3 9:00,9128,4144,3710,217,141,428,1631,0,82,0,649,-1874
2020/1/3 10:00,8783,4144,2901,217,141,389,2572,0,87,0,26,-1694
2020/1/3 11:00,8455,4146,2546,189,141,353,3339,0,102,0,-485,-1876
2020/1/3 12:00,8203,4144,2303,196,141,355,3974,0,107,0,-1161,-1856
2020/1/3 13:00,7846,4146,2269,196,140,353,3931,0,105,0,-1496,-1798
2020/1/3 14:00,7586,4142,2279,186,138,360,3253,0,140,0,-1114,-1798
2020/1/3 15:00,7649,4145,3148,224,141,407,2033,0,153,0,-786,-1816
2020/1/3 16:00,8121,4137,3993,233,141,410,717,0,139,0,233,-1882
2020/1/3 17:00,9219,4139,5248,424,141,408,30,0,107,0,798,-2076
2020/1/3 18:00,9754,4141,6008,705,141,410,1,0,87,0,423,-2162
2020/1/3 19:00,9735,4141,6184,671,141,412,0,0,89,0,283,-2186
2020/1/3 20:00,9609,4147,6265,457,141,411,0,0,98,0,250,-2160
2020/1/3 21:00,9345,4146,6202,245,140,410,0,0,85,0,231,-2114
2020/1/3 22:00,8943,4146,5996,223,141,407,0,0,93,0,-7,-2056
2020/1/3 23:00,8580,4147,5594,204,141,411,0,0,104,0,-11,-2010
2020/1/4 0:00,8136,4150,5147,183,142,410,0,0,89,0,-3,-1982
2020/1/4 1:00,8234,4145,5188,205,142,412,0,0,80,0,-2,-1936
2020/1/4 2:00,8704,4147,5619,238,142,411,0,0,80,0,21,-1954
2020/1/4 3:00,9029,4147,5919,322,142,413,0,0,76,0,4,-1994
2020/1/4 4:00,9077,4145,5932,346,142,410,0,0,62,0,-42,-1918
2020/1/4 5:00,8863,4146,5681,270,142,410,0,0,68,0,2,-1856
2020/1/4 6:00,8813,4144,5609,276,142,409,0,0,87,0,0,-1854
2020/1/4 7:00,9386,4146,6030,262,142,408,99,0,98,0,51,-1850
2020/1/4 8:00,9868,4145,5913,306,142,404,993,156,81,0,288,-2404
2020/1/4 9:00,9498,4150,4696,275,142,405,2271,403,61,0,-96,-2406
2020/1/4 10:00,8854,4145,3221,185,142,372,3547,626,68,0,-424,-2402
2020/1/4 11:00,8488,4146,2575,197,142,350,4395,771,69,0,-1048,-2338
2020/1/4 12:00,8230,4146,2410,179,142,351,4690,829,94,0,-1496,-2286
2020/1/4 13:00,7984,4145,2446,188,142,352,4369,781,118,0,-1490,-2286
2020/1/4 14:00,7787,4147,2695,190,142,351,3458,622,147,0,-1065,-2278
2020/1/4 15:00,7964,4146,3352,192,142,384,2191,408,183,0,-346,-2280
2020/1/4 16:00,8644,4145,5410,246,142,404,884,0,205,0,-380,-2412
2020/1/4 17:00,9653,4139,6615,436,142,407,27,0,194,0,227,-2534
2020/1/4 18:00,10267,4138,6869,685,142,408,0,0,202,0,365,-2542
2020/1/4 19:00,10201,4144,6836,632,142,409,0,0,203,0,409,-2574
2020/1/4 20:00,10036,4144,6820,414,142,409,0,0,204,0,451,-2548
2020/1/4 21:00,9712,4147,6802,269,142,410,0,0,176,0,184,-2418
2020/1/4 22:00,9233,4146,6481,216,142,406,0,0,168,0,-10,-2316
2020/1/4 23:00,8831,4148,6036,197,142,410,0,0,137,0,-7,-2232
2020/1/5 0:00,8398,4148,5630,188,142,404,0,0,132,0,2,-2248
2020/1/5 1:00,8501,4146,5753,180,142,403,0,0,127,0,6,-2256
2020/1/5 2:00,8959,4145,6221,226,142,403,0,0,111,0,-3,-2286
2020/1/5 3:00,9286,4146,6349,295,142,407,0,0,95,0,150,-2298
2020/1/5 4:00,9355,4148,6355,318,142,408,0,0,88,0,148,-2252
2020/1/5 5:00,9080,4146,6233,280,142,410,0,0,82,0,1,-2214
2020/1/5 6:00,8886,4147,6085,283,142,409,0,0,72,0,-4,-2248
2020/1/5 7:00,9293,4145,6224,337,142,410,103,0,57,0,177,-2302
2020/1/5 8:00,9682,4148,5832,235,142,408,1100,109,35,0,200,-2418
2020/1/5 9:00,9289,4147,4778,218,142,406,2508,273,23,0,-483,-2450
2020/1/5 10:00,8605,4146,3304,200,142,373,3721,410,16,0,-1033,-2264
2020/1/5 11:00,8444,4147,2576,174,142,351,4471,483,19,0,-1080,-2356
2020/1/5 12:00,8280,4146,2480,187,142,350,4671,502,10,0,-1382,-2324
2020/1/5 13:00,7987,4148,2507,173,142,350,4535,490,6,0,-1588,-2286
2020/1/5 14:00,7783,4147,2517,181,142,349,3816,428,7,0,-1072,-2304
2020/1/5 15:00,7828,4145,2991,187,142,381,2408,277,13,0,-183,-2256
2020/1/5 16:00,8536,4138,3891,211,142,404,903,0,17,0,1200,-2370
2020/1/5 17:00,9815,4138,6152,427,142,407,27,0,21,0,859,-2358
2020/1/5 18:00,10484,4146,7107,750,142,407,0,0,19,0,343,-2430
2020/1/5 19:00,10528,4137,7114,645,142,409,0,0,19,0,448,-2386
