,,,,,,,ëæózåı,ëæózåı,ïóóÕ,ïóóÕ,,
DATE_TIME,ÉGÉäÉAé˘óvÅkMWhÅl,å¥éqóÕÅkMWhÅl,âŒóÕÅkMWhÅl,êÖóÕÅkMWhÅl,ínîMÅkMWhÅl,ÉoÉCÉIÉ}ÉXÅkMWhÅl,é¿ê—ÅkMWhÅl,ó}êßó ÅkMWhÅl,é¿ê—ÅkMWhÅl,ó}êßó ÅkMWhÅl,ógêÖÅkMWhÅl,òAånê¸ÅkMWhÅl
2018/4/1 0:00,7092,888,7382,271,120,17,0,0,18,0,0,-1604
2018/4/1 1:00,7197,888,7547,252,120,17,0,0,15,0,0,-1642
2018/4/1 2:00,7721,887,7831,293,120,17,0,0,12,0,175,-1614
2018/4/1 3:00,8159,886,7852,452,120,17,0,0,7,0,397,-1572
2018/4/1 4:00,8296,887,7670,626,120,17,0,0,8,0,548,-1580
2018/4/1 5:00,8049,887,7440,609,120,17,0,0,10,0,594,-1628
2018/4/1 6:00,7612,887,7052,459,120,17,94,0,19,0,484,-1520
2018/4/1 7:00,7241,887,6380,403,120,17,860,0,15,0,23,-1464
2018/4/1 8:00,6986,888,4741,392,120,17,2161,0,11,0,-262,-1082
2018/4/1 9:00,7075,886,3960,322,120,17,3512,0,13,0,-953,-802
2018/4/1 10:00,7263,886,3632,271,120,17,4581,0,11,0,-1357,-898
2018/4/1 11:00,7450,887,3396,295,120,17,5136,0,12,0,-1481,-932
2018/4/1 12:00,7496,886,3080,292,120,18,5217,0,16,0,-1153,-980
2018/4/1 13:00,7516,886,3251,196,120,18,4923,0,23,0,-929,-972
2018/4/1 14:00,7242,886,3404,108,120,18,4164,0,29,0,-515,-972
2018/4/1 15:00,7369,886,4223,243,120,18,3176,0,22,0,-375,-944
2018/4/1 16:00,7475,885,5464,273,120,18,1988,0,17,0,0,-1290
2018/4/1 17:00,8025,885,7136,472,120,18,789,0,19,0,94,-1508
2018/4/1 18:00,8475,886,7833,705,120,18,55,0,14,0,240,-1396
2018/4/1 19:00,8677,886,7762,1049,120,18,0,0,13,0,213,-1384
2018/4/1 20:00,8380,887,7768,876,120,18,0,0,12,0,129,-1430
2018/4/1 21:00,8049,887,7596,656,120,18,0,0,9,0,193,-1430
2018/4/1 22:00,7671,888,7571,374,120,18,0,0,9,0,245,-1554
2018/4/1 23:00,7165,887,7411,295,120,18,0,0,8,0,30,-1604
2018/4/2 0:00,6773,888,6850,365,120,21,0,0,9,0,0,-1480
2018/4/2 1:00,6961,888,7181,239,120,21,0,0,10,0,0,-1498
2018/4/2 2:00,7475,887,7439,288,120,21,0,0,8,0,308,-1596
2018/4/2 3:00,8089,888,7525,506,120,21,0,0,7,0,614,-1592
2018/4/2 4:00,8365,888,7595,780,120,21,0,0,5,0,584,-1628
2018/4/2 5:00,8314,887,7529,806,120,21,0,0,4,0,515,-1568
2018/4/2 6:00,8241,887,7510,633,120,21,120,0,6,0,474,-1530
2018/4/2 7:00,8138,887,7121,422,120,21,979,0,5,0,39,-1456
2018/4/2 8:00,8221,887,6269,283,120,21,2319,0,4,0,-102,-1580
2018/4/2 9:00,8630,887,5950,205,118,22,3824,0,3,0,-167,-2212
