DATE,elec
2016-04-30,6131029
2016-05-31,6417597
2016-06-30,6866646
2016-07-31,8199305
2016-08-31,8591063
2016-09-30,7196230
2016-10-31,6865104
2016-11-30,6603837
2016-12-31,7464675
2017-01-31,7969481
2017-02-28,7235187
2017-03-31,7375434
2017-04-30,6330564
2017-05-31,6300084
2017-06-30,6581725
2017-07-31,8454531
2017-08-31,8513834
2017-09-30,6820681
2017-10-31,6643319
2017-11-30,6737369
2017-12-31,8200371
2018-01-31,8527289
2018-02-28,7709950
2018-03-31,7081863
2018-04-30,6282904
2018-05-31,6505548
2018-06-30,6827031
2018-07-31,8449502
2018-08-31,8702408
2018-09-30,7001364
2018-10-31,6466252
2018-11-30,6571677
2018-12-31,7663432
2019-01-31,7905459
2019-02-28,6990620
2019-03-31,7064441
2019-04-30,6305530
2019-05-31,6336601
2019-06-30,6641430
2019-07-31,7728304
2019-08-31,7989960
2019-09-30,7293234
2019-10-31,6571589
2019-11-30,6368962
2019-12-31,7467543
2020-01-31,7609594
2020-02-29,7140795
2020-03-31,6929306
