DATE,TIME,elec
4/1/2016,0:00,7449
4/1/2016,1:00,7658
4/1/2016,2:00,8180
4/1/2016,3:00,8798
4/1/2016,4:00,8922
4/1/2016,5:00,8773
4/1/2016,6:00,8823
4/1/2016,7:00,9146
4/1/2016,8:00,9443
4/1/2016,9:00,9758
4/1/2016,10:00,9923
4/1/2016,11:00,9862
4/1/2016,12:00,9260
4/1/2016,13:00,9759
4/1/2016,14:00,9404
4/1/2016,15:00,9502
4/1/2016,16:00,9624
4/1/2016,17:00,9623
4/1/2016,18:00,9932
4/1/2016,19:00,9944
4/1/2016,20:00,9530
4/1/2016,21:00,9086
4/1/2016,22:00,8779
4/1/2016,23:00,8127
4/2/2016,0:00,7493
4/2/2016,1:00,7659
4/2/2016,2:00,8060
4/2/2016,3:00,8598
4/2/2016,4:00,8761
4/2/2016,5:00,8527
4/2/2016,6:00,8169
4/2/2016,7:00,7978
4/2/2016,8:00,8099
4/2/2016,9:00,8254
4/2/2016,10:00,8331
4/2/2016,11:00,8408
4/2/2016,12:00,8274
4/2/2016,13:00,8252
4/2/2016,14:00,8233
4/2/2016,15:00,8201
4/2/2016,16:00,8352
4/2/2016,17:00,8498
4/2/2016,18:00,9003
4/2/2016,19:00,9198
4/2/2016,20:00,8789
4/2/2016,21:00,8367
4/2/2016,22:00,7883
4/2/2016,23:00,7387
4/3/2016,0:00,6904
4/3/2016,1:00,7048
4/3/2016,2:00,7626
4/3/2016,3:00,8104
4/3/2016,4:00,8173
4/3/2016,5:00,7880
4/3/2016,6:00,7432
4/3/2016,7:00,7341
4/3/2016,8:00,7362
4/3/2016,9:00,7512
4/3/2016,10:00,7514
4/3/2016,11:00,7410
4/3/2016,12:00,7569
4/3/2016,13:00,7546
4/3/2016,14:00,7591
4/3/2016,15:00,7692
4/3/2016,16:00,8024
4/3/2016,17:00,8543
4/3/2016,18:00,8997
4/3/2016,19:00,8971
4/3/2016,20:00,8668
4/3/2016,21:00,8222
4/3/2016,22:00,7771
4/3/2016,23:00,7248
4/4/2016,0:00,7098
4/4/2016,1:00,7304
4/4/2016,2:00,7841
4/4/2016,3:00,8354
4/4/2016,4:00,8566
4/4/2016,5:00,8421
4/4/2016,6:00,8438
4/4/2016,7:00,8763
4/4/2016,8:00,9266
4/4/2016,9:00,9676
4/4/2016,10:00,9804
4/4/2016,11:00,9794
4/4/2016,12:00,9228
4/4/2016,13:00,9491
4/4/2016,14:00,9710
4/4/2016,15:00,9476
4/4/2016,16:00,9618
4/4/2016,17:00,9684
4/4/2016,18:00,9979
4/4/2016,19:00,10018
4/4/2016,20:00,9578
4/4/2016,21:00,9074
4/4/2016,22:00,8736
4/4/2016,23:00,8154
4/5/2016,0:00,7648
4/5/2016,1:00,7832
4/5/2016,2:00,8410
4/5/2016,3:00,8887
4/5/2016,4:00,9087
4/5/2016,5:00,9006
4/5/2016,6:00,8926
4/5/2016,7:00,8728
4/5/2016,8:00,8771
4/5/2016,9:00,9193
4/5/2016,10:00,9244
4/5/2016,11:00,9195
4/5/2016,12:00,8801
4/5/2016,13:00,9148
4/5/2016,14:00,9086
4/5/2016,15:00,9031
4/5/2016,16:00,9164
4/5/2016,17:00,9349
4/5/2016,18:00,9828
4/5/2016,19:00,9936
4/5/2016,20:00,9565
4/5/2016,21:00,9064
4/5/2016,22:00,8700
4/5/2016,23:00,8201
4/6/2016,0:00,7641
4/6/2016,1:00,7814
4/6/2016,2:00,8359
4/6/2016,3:00,8839
4/6/2016,4:00,9068
4/6/2016,5:00,8950
4/6/2016,6:00,8945
4/6/2016,7:00,8812
4/6/2016,8:00,8958
4/6/2016,9:00,9182
4/6/2016,10:00,9112
4/6/2016,11:00,9201
4/6/2016,12:00,8823
4/6/2016,13:00,9264
4/6/2016,14:00,9183
4/6/2016,15:00,9118
4/6/2016,16:00,9432
4/6/2016,17:00,9672
4/6/2016,18:00,9922
4/6/2016,19:00,9758
4/6/2016,20:00,9324
4/6/2016,21:00,8874
4/6/2016,22:00,8444
4/6/2016,23:00,8024
4/7/2016,0:00,7662
4/7/2016,1:00,7795
4/7/2016,2:00,8273
4/7/2016,3:00,8862
4/7/2016,4:00,9014
4/7/2016,5:00,8844
4/7/2016,6:00,8810
4/7/2016,7:00,9140
4/7/2016,8:00,9584
4/7/2016,9:00,10055
4/7/2016,10:00,10226
4/7/2016,11:00,10294
4/7/2016,12:00,9764
4/7/2016,13:00,10148
4/7/2016,14:00,10219
4/7/2016,15:00,10133
4/7/2016,16:00,10130
4/7/2016,17:00,10092
4/7/2016,18:00,10180
4/7/2016,19:00,9934
4/7/2016,20:00,9555
4/7/2016,21:00,9046
4/7/2016,22:00,8473
4/7/2016,23:00,7896
4/8/2016,0:00,7310
4/8/2016,1:00,7504
4/8/2016,2:00,7990
4/8/2016,3:00,8648
4/8/2016,4:00,8831
4/8/2016,5:00,8831
4/8/2016,6:00,8876
4/8/2016,7:00,8920
4/8/2016,8:00,9087
4/8/2016,9:00,9336
4/8/2016,10:00,9440
4/8/2016,11:00,9496
4/8/2016,12:00,8922
4/8/2016,13:00,9282
4/8/2016,14:00,9290
4/8/2016,15:00,9152
4/8/2016,16:00,9216
4/8/2016,17:00,9287
4/8/2016,18:00,9672
4/8/2016,19:00,9803
4/8/2016,20:00,9384
4/8/2016,21:00,8926
4/8/2016,22:00,8622
4/8/2016,23:00,8171
4/9/2016,0:00,7669
4/9/2016,1:00,7772
4/9/2016,2:00,8227
4/9/2016,3:00,8746
4/9/2016,4:00,8927
4/9/2016,5:00,8624
4/9/2016,6:00,8382
4/9/2016,7:00,8112
4/9/2016,8:00,8144
4/9/2016,9:00,8362
4/9/2016,10:00,8544
4/9/2016,11:00,8524
4/9/2016,12:00,8292
4/9/2016,13:00,8454
4/9/2016,14:00,8369
4/9/2016,15:00,8241
4/9/2016,16:00,8354
4/9/2016,17:00,8636
4/9/2016,18:00,9158
4/9/2016,19:00,9294
4/9/2016,20:00,8991
4/9/2016,21:00,8541
4/9/2016,22:00,8168
4/9/2016,23:00,7574
4/10/2016,0:00,6936
4/10/2016,1:00,7179
4/10/2016,2:00,7796
4/10/2016,3:00,8264
4/10/2016,4:00,8415
4/10/2016,5:00,8101
4/10/2016,6:00,7513
4/10/2016,7:00,7277
4/10/2016,8:00,7244
4/10/2016,9:00,7449
4/10/2016,10:00,7390
4/10/2016,11:00,7293
4/10/2016,12:00,7316
4/10/2016,13:00,7228
4/10/2016,14:00,7154
4/10/2016,15:00,7250
4/10/2016,16:00,7419
4/10/2016,17:00,8131
4/10/2016,18:00,8894
4/10/2016,19:00,9097
4/10/2016,20:00,8787
4/10/2016,21:00,8342
4/10/2016,22:00,7673
4/10/2016,23:00,7189
4/11/2016,0:00,6900
4/11/2016,1:00,7094
4/11/2016,2:00,7603
4/11/2016,3:00,8202
4/11/2016,4:00,8536
4/11/2016,5:00,8532
4/11/2016,6:00,8563
4/11/2016,7:00,8596
4/11/2016,8:00,8955
4/11/2016,9:00,9292
4/11/2016,10:00,9153
4/11/2016,11:00,9118
4/11/2016,12:00,8729
4/11/2016,13:00,9063
4/11/2016,14:00,8959
4/11/2016,15:00,8840
4/11/2016,16:00,8963
4/11/2016,17:00,9134
4/11/2016,18:00,9712
4/11/2016,19:00,9993
4/11/2016,20:00,9715
4/11/2016,21:00,9216
4/11/2016,22:00,8751
4/11/2016,23:00,8169
4/12/2016,0:00,7626
4/12/2016,1:00,7769
4/12/2016,2:00,8235
4/12/2016,3:00,8824
4/12/2016,4:00,9066
4/12/2016,5:00,9108
4/12/2016,6:00,9164
4/12/2016,7:00,8960
4/12/2016,8:00,8883
4/12/2016,9:00,9168
4/12/2016,10:00,9184
4/12/2016,11:00,9287
4/12/2016,12:00,8863
4/12/2016,13:00,9156
4/12/2016,14:00,9034
4/12/2016,15:00,8878
4/12/2016,16:00,9120
4/12/2016,17:00,9321
4/12/2016,18:00,9865
4/12/2016,19:00,9926
4/12/2016,20:00,9505
4/12/2016,21:00,8956
4/12/2016,22:00,8540
4/12/2016,23:00,8010
4/13/2016,0:00,7471
4/13/2016,1:00,7644
4/13/2016,2:00,8139
4/13/2016,3:00,8628
4/13/2016,4:00,8860
4/13/2016,5:00,8824
4/13/2016,6:00,8760
4/13/2016,7:00,8559
4/13/2016,8:00,8657
