需給実績公表,,,,,,,,,,,
※四捨五入の関係で合計が合わないことがあります。,,,,,,,,,,,（単位：MWh）
,,,,,,,,,,,
DATE,TIME,"エリアの
需要実績",,エリアの供給実績,,,,,,,
,,,,火力,水力,バイオマス,太陽光,,風力,,合計
,,,,,,,,"太陽光
出力制御量",,"風力
出力制御量",
,,,,,,,,,,,
2018/4/1,0:00,643.4,,632.9,1,3.2,0,0,6.3,0,643.4
2018/4/1,1:00,615.2,,606,1,3.2,0,0,5,0,615.2
2018/4/1,2:00,625.5,,616.8,1,3.2,0,0,4.5,0,625.5
2018/4/1,3:00,651.3,,643.7,1,3.2,0,0,3.4,0,651.3
2018/4/1,4:00,649.6,,642.9,1,3.2,0,0,2.5,0,649.6
2018/4/1,5:00,624.6,,618.4,1,3.2,0,0,2,0,624.6
2018/4/1,6:00,594.8,,588.3,1,3.2,0.9,0,1.4,0,594.8
2018/4/1,7:00,634.1,,595.9,1,3.2,32.1,0,1.9,0,634.1
2018/4/1,8:00,700.3,,611.5,1,3.2,82.9,0,1.7,0,700.3
2018/4/1,9:00,745.7,,608.4,1,3.2,131.5,0,1.6,0,745.7
2018/4/1,10:00,767.2,,589.2,1,3.2,172.3,0,1.5,0,767.2
2018/4/1,11:00,774.9,,569.7,1,3.2,199.6,0,1.4,0,774.9
2018/4/1,12:00,803.8,,578.6,1,3.2,219.8,0,1.2,0,803.8
2018/4/1,13:00,814.1,,598.7,1,3.2,210.2,0,1,0,814.1
2018/4/1,14:00,817.2,,601.6,1,3.2,210.3,0,1.1,0,817.2
2018/4/1,15:00,801.7,,621.4,1,3.2,174.8,0,1.3,0,801.7
2018/4/1,16:00,794.9,,677.3,1,3.2,111.5,0,1.9,0,794.9
2018/4/1,17:00,812.6,,750.9,1,3.2,55.5,0,2,0,812.6
2018/4/1,18:00,840.3,,827.9,1,3.2,5.9,0,2.3,0,840.3
2018/4/1,19:00,876.7,,869.9,1,3.2,0,0,2.6,0,876.7
2018/4/1,20:00,857.2,,850.3,1,3.2,0,0,2.7,0,857.2
2018/4/1,21:00,829,,822.4,1,3.2,0,0,2.4,0,829
2018/4/1,22:00,773.7,,767.2,1,3.2,0,0,2.3,0,773.7
2018/4/1,23:00,716.2,,709.4,1,3.2,0,0,2.6,0,716.2
2018/4/2,0:00,664.5,,657.9,1,3.2,0,0,2.4,0,664.5
2018/4/2,1:00,638.9,,632.9,1,3.2,0,0,1.8,0,638.9
2018/4/2,2:00,655.2,,649.6,1,3.2,0,0,1.4,0,655.2
2018/4/2,3:00,687,,681.6,1,3.2,0,0,1.2,0,687
2018/4/2,4:00,691.4,,686.2,1,3.2,0,0,1,0,691.4
2018/4/2,5:00,681.1,,676,1,3.2,0,0,0.9,0,681.1
2018/4/2,6:00,682.9,,676.7,1,3.2,1.2,0,0.8,0,682.9
2018/4/2,7:00,725.7,,686.3,1,3.2,34.4,0,0.8,0,725.7
2018/4/2,8:00,771.9,,669.7,1,3.2,97.2,0,0.8,0,771.9
2018/4/2,9:00,819.7,,661.3,1,3.2,153,0,1.2,0,819.7
2018/4/2,10:00,829,,641.9,1,3.2,181.6,0,1.3,0,829
2018/4/2,11:00,851.8,,631.1,1,3.2,215.6,0,0.9,0,851.8
2018/4/2,12:00,838.1,,620.6,1,3.2,212.4,0,0.9,0,838.1
2018/4/2,13:00,862,,625,1,3.2,232,0,0.8,0,862
2018/4/2,14:00,861.8,,640.3,1,3.2,216.1,0,1.2,0,861.8
2018/4/2,15:00,860.8,,675.9,1,3.2,179.5,0,1.2,0,860.8
2018/4/2,16:00,861.8,,731.5,1,3.2,124.7,0,1.4,0,861.8
2018/4/2,17:00,852.5,,786.7,1,3.2,60.5,0,1.1,0,852.5
2018/4/2,18:00,846,,833.5,1,3.2,7.2,0,1.1,0,846
2018/4/2,19:00,878.3,,873.3,1,3.2,0,0,0.8,0,878.3
2018/4/2,20:00,851.3,,846.1,1,3.2,0,0,1,0,851.3
2018/4/2,21:00,808,,802.1,1,3.2,0,0,1.7,0,808
2018/4/2,22:00,762.1,,756.5,1,3.2,0,0,1.4,0,762.1
2018/4/2,23:00,728.1,,721.9,1,3.2,0,0,2,0,728.1
2018/4/3,0:00,675,,669,1,3.2,0,0,1.8,0,675
2018/4/3,1:00,650.2,,644,1,3.2,0,0,2,0,650.2
2018/4/3,2:00,665.3,,659.1,1,3.2,0,0,2,0,665.3
2018/4/3,3:00,693.2,,687.1,1,3.2,0,0,1.9,0,693.2
2018/4/3,4:00,696.3,,690.9,1,3.2,0,0,1.2,0,696.3
2018/4/3,5:00,687.9,,682.3,1,3.2,0,0,1.4,0,687.9
2018/4/3,6:00,686.6,,679.3,1,3.2,1.2,0,1.9,0,686.6
2018/4/3,7:00,737.9,,697.3,1,3.2,34.7,0,1.7,0,737.9
2018/4/3,8:00,793.1,,691.6,1,3.2,95.3,0,2,0,793.1
2018/4/3,9:00,829.5,,690.5,1,3.2,132.9,0,1.9,0,829.5
2018/4/3,10:00,840.5,,664.2,1,3.2,169.9,0,2.2,0,840.5
2018/4/3,11:00,848.9,,660.2,1,3.2,181.9,0,2.6,0,848.9
2018/4/3,12:00,834,,629.3,1,3.2,197.9,0,2.6,0,834
2018/4/3,13:00,866.6,,651.1,1,3.2,209.2,0,2.1,0,866.6
2018/4/3,14:00,874,,675.7,1,3.2,192.3,0,1.8,0,874
2018/4/3,15:00,859.9,,706,1,3.2,148.4,0,1.3,0,859.9
2018/4/3,16:00,868.1,,747.6,1,3.2,114.4,0,1.9,0,868.1
2018/4/3,17:00,860,,796.3,1,3.2,57.9,0,1.6,0,860
2018/4/3,18:00,858.2,,846.5,1,3.2,6.2,0,1.3,0,858.2
2018/4/3,19:00,889.2,,884,1,3.2,0,0,1,0,889.2
2018/4/3,20:00,857.6,,852,1,3.2,0,0,1.4,0,857.6
2018/4/3,21:00,815.2,,809.4,1,3.2,0,0,1.6,0,815.2
2018/4/3,22:00,766,,759.7,1,3.2,0,0,2.1,0,766
2018/4/3,23:00,704.8,,698.1,1,3.2,0,0,2.5,0,704.8
2018/4/4,0:00,648.3,,641.6,1,3.2,0,0,2.5,0,648.3
2018/4/4,1:00,619.5,,612.2,1,3.2,0,0,3.1,0,619.5
2018/4/4,2:00,629.5,,623.1,1,3.2,0,0,2.2,0,629.5
2018/4/4,3:00,657.4,,651.3,1,3.2,0,0,1.9,0,657.4
2018/4/4,4:00,663.1,,657.1,1,3.2,0,0,1.8,0,663.1
2018/4/4,5:00,656.1,,650,1,3.2,0,0,1.9,0,656.1
2018/4/4,6:00,657.3,,649.7,1,3.2,1.4,0,2,0,657.3
2018/4/4,7:00,709,,671.3,1,3.2,31.5,0,2,0,709
2018/4/4,8:00,787.9,,688,1,3.2,93.3,0,2.4,0,787.9
2018/4/4,9:00,845.7,,694.8,1,3.2,144.4,0,2.3,0,845.7
2018/4/4,10:00,873.9,,682.3,1,3.2,185.2,0,2.2,0,873.9
2018/4/4,11:00,898,,684,1,3.2,207.8,0,2,0,898
2018/4/4,12:00,886.5,,657.3,1,3.2,221.9,0,3.1,0,886.5
2018/4/4,13:00,906.7,,677,1,3.2,222.7,0,2.8,0,906.7
2018/4/4,14:00,897.6,,703.4,1,3.2,187.2,0,2.8,0,897.6
