DATE,elec
2016-04-30,602059.0
2016-05-31,697359.0
2016-06-30,796932.0
2016-07-31,884861.0
2016-08-31,869261.0
2016-09-30,788481.0
2016-10-31,778369.0
2016-11-30,595858.0
2016-12-31,581289.0
2017-01-31,576422.0
2017-02-28,535876.0
2017-03-31,578989.0
2017-04-30,569609.3
2017-05-31,645670.0999999999
2017-06-30,731280.8999999999
2017-07-31,889993.8
2017-08-31,925822.4
2017-09-30,819316.6
2017-10-31,752335.7000000001
2017-11-30,596643.8
2017-12-31,582104.9000000001
2018-01-31,591720.7000000001
2018-02-28,546565.4999999999
2018-03-31,570073.9
2018-04-30,571243.3
2018-05-31,699423.3999999999
2018-06-30,780576.7000000001
2018-07-31,825368.3
2018-08-31,841906.5
2018-09-30,781004.3000000002
2018-10-31,640293.5
2018-11-30,591550.3000000002
2018-12-31,590717.6
2019-01-31,573194.4
2019-02-28,522347.0999999999
2019-03-31,569856.2000000001
2019-04-30,584016.3000000002
2019-05-31,642955.3
2019-06-30,730536.7999999999
2019-07-31,871737.9999999997
2019-08-31,880807.0000000001
2019-09-30,788852.7000000002
2019-10-31,720738.8
2019-11-30,600980.0000000001
2019-12-31,587096.3999999999
2020-01-31,574988.4
2020-02-29,547466.4
2020-03-31,574775.5
