DATE,TIME,elec,
4/1/2016,0:00,647,
4/1/2016,1:00,630,
4/1/2016,2:00,644,
4/1/2016,3:00,663,
4/1/2016,4:00,657,
4/1/2016,5:00,635,
4/1/2016,6:00,653,
4/1/2016,7:00,715,
4/1/2016,8:00,786,
4/1/2016,9:00,818,
4/1/2016,10:00,841,
4/1/2016,11:00,847,
4/1/2016,12:00,836,
4/1/2016,13:00,846,
4/1/2016,14:00,839,
4/1/2016,15:00,801,
4/1/2016,16:00,830,
4/1/2016,17:00,824,
4/1/2016,18:00,830,
4/1/2016,19:00,863,
4/1/2016,20:00,834,
4/1/2016,21:00,796,
4/1/2016,22:00,764,
4/1/2016,23:00,729,
4/2/2016,0:00,682,
4/2/2016,1:00,656,
4/2/2016,2:00,669,
4/2/2016,3:00,688,
4/2/2016,4:00,687,
4/2/2016,5:00,660,
4/2/2016,6:00,645,
4/2/2016,7:00,692,
4/2/2016,8:00,760,
4/2/2016,9:00,808,
4/2/2016,10:00,837,
4/2/2016,11:00,855,
4/2/2016,12:00,852,
4/2/2016,13:00,859,
4/2/2016,14:00,830,
4/2/2016,15:00,830,
4/2/2016,16:00,813,
4/2/2016,17:00,826,
4/2/2016,18:00,849,
4/2/2016,19:00,884,
4/2/2016,20:00,861,
4/2/2016,21:00,824,
4/2/2016,22:00,772,
4/2/2016,23:00,721,
4/3/2016,0:00,670,
4/3/2016,1:00,650,
4/3/2016,2:00,663,
4/3/2016,3:00,677,
4/3/2016,4:00,674,
4/3/2016,5:00,643,
4/3/2016,6:00,612,
4/3/2016,7:00,659,
4/3/2016,8:00,714,
4/3/2016,9:00,766,
4/3/2016,10:00,788,
4/3/2016,11:00,813,
4/3/2016,12:00,815,
4/3/2016,13:00,823,
4/3/2016,14:00,800,
4/3/2016,15:00,795,
4/3/2016,16:00,799,
4/3/2016,17:00,814,
4/3/2016,18:00,864,
4/3/2016,19:00,890,
4/3/2016,20:00,866,
4/3/2016,21:00,835,
4/3/2016,22:00,787,
4/3/2016,23:00,731,
4/4/2016,0:00,678,
4/4/2016,1:00,660,
4/4/2016,2:00,675,
4/4/2016,3:00,697,
4/4/2016,4:00,691,
4/4/2016,5:00,681,
4/4/2016,6:00,701,
4/4/2016,7:00,777,
4/4/2016,8:00,843,
4/4/2016,9:00,898,
4/4/2016,10:00,926,
4/4/2016,11:00,944,
4/4/2016,12:00,918,
4/4/2016,13:00,945,
4/4/2016,14:00,910,
4/4/2016,15:00,902,
4/4/2016,16:00,898,
4/4/2016,17:00,893,
4/4/2016,18:00,912,
4/4/2016,19:00,920,
4/4/2016,20:00,883,
4/4/2016,21:00,840,
4/4/2016,22:00,779,
4/4/2016,23:00,721,
4/5/2016,0:00,665,
4/5/2016,1:00,641,
4/5/2016,2:00,652,
4/5/2016,3:00,675,
4/5/2016,4:00,673,
4/5/2016,5:00,659,
4/5/2016,6:00,689,
4/5/2016,7:00,772,
4/5/2016,8:00,845,
4/5/2016,9:00,917,
4/5/2016,10:00,943,
4/5/2016,11:00,946,
4/5/2016,12:00,932,
4/5/2016,13:00,959,
4/5/2016,14:00,963,
4/5/2016,15:00,941,
4/5/2016,16:00,941,
4/5/2016,17:00,933,
4/5/2016,18:00,945,
4/5/2016,19:00,957,
4/5/2016,20:00,926,
4/5/2016,21:00,873,
4/5/2016,22:00,816,
4/5/2016,23:00,755,
4/6/2016,0:00,689,
4/6/2016,1:00,662,
4/6/2016,2:00,671,
4/6/2016,3:00,692,
4/6/2016,4:00,686,
4/6/2016,5:00,674,
4/6/2016,6:00,695,
4/6/2016,7:00,763,
4/6/2016,8:00,849,
4/6/2016,9:00,930,
4/6/2016,10:00,980,
4/6/2016,11:00,1000,
4/6/2016,12:00,991,
4/6/2016,13:00,1006,
4/6/2016,14:00,999,
4/6/2016,15:00,1002,
4/6/2016,16:00,971,
4/6/2016,17:00,953,
4/6/2016,18:00,964,
4/6/2016,19:00,988,
4/6/2016,20:00,957,
4/6/2016,21:00,905,
4/6/2016,22:00,840,
4/6/2016,23:00,777,
4/7/2016,0:00,711,
4/7/2016,1:00,682,
4/7/2016,2:00,686,
4/7/2016,3:00,703,
4/7/2016,4:00,701,
4/7/2016,5:00,693,
4/7/2016,6:00,716,
4/7/2016,7:00,784,
4/7/2016,8:00,878,
4/7/2016,9:00,965,
4/7/2016,10:00,1003,
4/7/2016,11:00,1022,
4/7/2016,12:00,1001,
4/7/2016,13:00,1024,
4/7/2016,14:00,1014,
4/7/2016,15:00,1016,
4/7/2016,16:00,995,
4/7/2016,17:00,988,
4/7/2016,18:00,986,
4/7/2016,19:00,1017,
4/7/2016,20:00,984,
4/7/2016,21:00,931,
4/7/2016,22:00,860,
4/7/2016,23:00,799,
4/8/2016,0:00,729,
4/8/2016,1:00,697,
4/8/2016,2:00,700,
4/8/2016,3:00,717,
4/8/2016,4:00,715,
4/8/2016,5:00,708,
4/8/2016,6:00,731,
4/8/2016,7:00,814,
4/8/2016,8:00,892,
4/8/2016,9:00,974,
4/8/2016,10:00,972,
4/8/2016,11:00,1025,
4/8/2016,12:00,1009,
4/8/2016,13:00,1033,
4/8/2016,14:00,1032,
4/8/2016,15:00,1006,
4/8/2016,16:00,997,
4/8/2016,17:00,989,
4/8/2016,18:00,1001,
4/8/2016,19:00,994,
4/8/2016,20:00,952,
4/8/2016,21:00,900,
4/8/2016,22:00,840,
4/8/2016,23:00,787,
4/9/2016,0:00,721,
4/9/2016,1:00,686,
4/9/2016,2:00,685,
4/9/2016,3:00,702,
4/9/2016,4:00,699,
4/9/2016,5:00,676,
4/9/2016,6:00,678,
4/9/2016,7:00,744,
4/9/2016,8:00,824,
4/9/2016,9:00,907,
4/9/2016,10:00,943,
4/9/2016,11:00,951,
4/9/2016,12:00,935,
4/9/2016,13:00,935,
4/9/2016,14:00,917,
4/9/2016,15:00,894,
4/9/2016,16:00,907,
4/9/2016,17:00,898,
4/9/2016,18:00,946,
4/9/2016,19:00,957,
4/9/2016,20:00,927,
4/9/2016,21:00,884,
4/9/2016,22:00,837,
4/9/2016,23:00,787,
4/10/2016,0:00,735,
4/10/2016,1:00,704,
4/10/2016,2:00,704,
4/10/2016,3:00,718,
4/10/2016,4:00,723,
4/10/2016,5:00,693,
4/10/2016,6:00,684,
4/10/2016,7:00,729,
4/10/2016,8:00,773,
4/10/2016,9:00,828,
4/10/2016,10:00,892,
4/10/2016,11:00,908,
4/10/2016,12:00,876,
4/10/2016,13:00,880,
4/10/2016,14:00,859,
4/10/2016,15:00,855,
4/10/2016,16:00,865,
4/10/2016,17:00,882,
4/10/2016,18:00,926,
4/10/2016,19:00,938,
4/10/2016,20:00,915,
4/10/2016,21:00,875,
4/10/2016,22:00,807,
4/10/2016,23:00,753,
4/11/2016,0:00,693,
4/11/2016,1:00,666,
4/11/2016,2:00,678,
4/11/2016,3:00,700,
4/11/2016,4:00,706,
4/11/2016,5:00,700,
4/11/2016,6:00,725,
4/11/2016,7:00,781,
4/11/2016,8:00,828,
4/11/2016,9:00,885,
4/11/2016,10:00,901,
4/11/2016,11:00,895,
4/11/2016,12:00,869,
4/11/2016,13:00,904,
4/11/2016,14:00,891,
4/11/2016,15:00,874,
4/11/2016,16:00,873,
4/11/2016,17:00,870,
4/11/2016,18:00,884,
4/11/2016,19:00,904,
4/11/2016,20:00,872,
4/11/2016,21:00,827,
4/11/2016,22:00,771,
4/11/2016,23:00,708,
4/12/2016,0:00,652,
4/12/2016,1:00,628,
4/12/2016,2:00,640,
4/12/2016,3:00,664,
4/12/2016,4:00,668,
4/12/2016,5:00,658,
4/12/2016,6:00,684,
4/12/2016,7:00,749,
4/12/2016,8:00,822,
4/12/2016,9:00,894,
4/12/2016,10:00,922,
4/12/2016,11:00,919,
4/12/2016,12:00,872,
4/12/2016,13:00,876,
4/12/2016,14:00,885,
4/12/2016,15:00,879,
4/12/2016,16:00,874,
4/12/2016,17:00,886,
4/12/2016,18:00,901,
4/12/2016,19:00,917,
4/12/2016,20:00,886,
4/12/2016,21:00,843,
4/12/2016,22:00,784,
4/12/2016,23:00,723,
4/13/2016,0:00,665,
4/13/2016,1:00,640,
4/13/2016,2:00,650,
4/13/2016,3:00,673,
4/13/2016,4:00,675,
4/13/2016,5:00,664,
4/13/2016,6:00,677,
4/13/2016,7:00,738,
4/13/2016,8:00,818,
4/13/2016,9:00,893,
4/13/2016,10:00,919,
4/13/2016,11:00,926,
4/13/2016,12:00,892,
4/13/2016,13:00,924,
4/13/2016,14:00,913,
4/13/2016,15:00,917,
4/13/2016,16:00,905,
4/13/2016,17:00,922,
4/13/2016,18:00,955,
4/13/2016,19:00,949,
4/13/2016,20:00,914,
4/13/2016,21:00,866,
4/13/2016,22:00,805,
4/13/2016,23:00,738,
4/14/2016,0:00,675,
4/14/2016,1:00,650,
4/14/2016,2:00,657,
4/14/2016,3:00,681,
4/14/2016,4:00,683,
4/14/2016,5:00,671,
4/14/2016,6:00,695,
4/14/2016,7:00,752,
4/14/2016,8:00,832,
4/14/2016,9:00,908,
4/14/2016,10:00,893,
4/14/2016,11:00,939,
4/14/2016,12:00,912,
4/14/2016,13:00,937,
4/14/2016,14:00,928,
4/14/2016,15:00,909,
4/14/2016,16:00,915,
4/14/2016,17:00,894,
4/14/2016,18:00,890,
4/14/2016,19:00,921,
4/14/2016,20:00,895,
4/14/2016,21:00,848,
4/14/2016,22:00,790,
4/14/2016,23:00,726,
4/15/2016,0:00,665,
4/15/2016,1:00,638,
4/15/2016,2:00,646,
4/15/2016,3:00,671,
4/15/2016,4:00,670,
4/15/2016,5:00,657,
4/15/2016,6:00,685,
4/15/2016,7:00,741,
4/15/2016,8:00,804,
4/15/2016,9:00,864,
4/15/2016,10:00,903,
4/15/2016,11:00,916,
4/15/2016,12:00,897,
4/15/2016,13:00,925,
4/15/2016,14:00,921,
4/15/2016,15:00,907,
4/15/2016,16:00,911,
4/15/2016,17:00,892,
4/15/2016,18:00,884,
4/15/2016,19:00,911,
4/15/2016,20:00,886,
4/15/2016,21:00,843,
4/15/2016,22:00,785,
4/15/2016,23:00,736,
4/16/2016,0:00,674,
4/16/2016,1:00,645,
4/16/2016,2:00,651,
4/16/2016,3:00,675,
4/16/2016,4:00,671,
4/16/2016,5:00,650,
4/16/2016,6:00,651,
4/16/2016,7:00,695,
4/16/2016,8:00,766,
4/16/2016,9:00,830,
4/16/2016,10:00,873,
4/16/2016,11:00,889,
4/16/2016,12:00,880,
4/16/2016,13:00,898,
4/16/2016,14:00,887,
4/16/2016,15:00,865,
4/16/2016,16:00,875,
4/16/2016,17:00,868,
4/16/2016,18:00,885,
4/16/2016,19:00,910,
4/16/2016,20:00,890,
4/16/2016,21:00,852,
4/16/2016,22:00,817,
4/16/2016,23:00,782,
4/17/2016,0:00,736,
4/17/2016,1:00,709,
4/17/2016,2:00,718,
4/17/2016,3:00,739,
4/17/2016,4:00,734,
4/17/2016,5:00,713,
4/17/2016,6:00,704,
4/17/2016,7:00,729,
4/17/2016,8:00,770,
4/17/2016,9:00,826,
4/17/2016,10:00,853,
4/17/2016,11:00,850,
4/17/2016,12:00,864,
