date,total,manufac,home,hokkaido,touhoku,tokyo,cyubu,hokuriku,kansai,cyugoku,shikoku,kyushu,okinawa
1989/1/1,51644033,17795609,33848424,1262917,2877745,11678950,4653448,1037449,5961367,2097258,1070222,2961908,247160
1989/2/1,47947215,17531314,30415901,1311784,2528461,10293537,4113099,914883,5350461,1916335,1056805,2686789,243747
1989/3/1,48573850,19163583,29410267,1188310,2731645,9722251,3966344,894781,5199840,1826465,989702,2669432,221497
1989/4/1,48788188,18542427,30245761,1201758,2554842,10350207,4164558,891169,5415203,1941870,957782,2522739,245633
1989/5/1,46276002,18451992,27824010,1105686,2488594,9452232,3689625,841579,4867001,1689974,901074,2522991,265254
1989/6/1,46613542,19596745,27016797,1116358,2465297,9040421,3492951,820582,4727557,1576690,960409,2508450,308082
1989/7/1,51225641,20209882,31015759,1118529,2475771,10526155,4097844,917409,5765876,1835418,1040678,2840173,397906
1989/8/1,55956119,19586570,36369549,1225378,3042863,11945913,4501937,1095026,7021321,2194244,1286199,3629467,427201
1989/9/1,57441707,20146647,37295060,1275183,2705798,13023290,5136995,978978,6892355,2321880,1162977,3385847,411757
1989/10/1,50362760,20047666,30315094,1187374,2540655,10318527,3990415,865684,5319063,1854415,954695,2905394,378872
1989/11/1,48737690,19717917,29019773,1223373,2480900,10018569,3865676,853537,5036724,1746494,943719,2549968,300813
1989/12/1,50427107,19690072,30737035,1244207,2645616,10515666,4096732,925732,5399899,1904627,1003228,2730441,270887
1990/1/1,54942825,18811428,36131397,1328644,3060938,12653945,4913097,1107575,6355779,2139589,1154802,3158589,258439
1990/2/1,52100709,18542857,33557852,1420589,2831541,11601013,4414474,959012,5906493,2137328,1133768,2897523,256111
1990/3/1,50424779,19985404,30439375,1264133,2827732,10233101,4053512,932602,5311391,1869234,986071,2716592,245007
1990/4/1,50132296,19382693,30749603,1246056,2570008,10584990,4203287,901815,5407390,1936775,989390,2652585,257307
