,1989年1月,1989年2月,1989年3月,1989年4月,1989年5月,1989年6月,1989年7月,1989年8月,1989年9月,1989年10月,1989年11月,1989年12月,1990年1月,1990年2月,1990年3月,1990年4月,1990年5月,1990年6月,1990年7月,1990年8月,1990年9月,1990年10月,1990年11月,1990年12月,1991年1月,1991年2月,1991年3月,1991年4月,1991年5月,1991年6月,1991年7月,1991年8月,1991年9月,1991年10月,1991年11月,1991年12月,1992年1月,1992年2月,1992年3月,1992年4月,1992年5月,1992年6月,1992年7月,1992年8月,1992年9月,1992年10月,1992年11月,1992年12月,1993年1月,1993年2月,1993年3月,1993年4月,1993年5月,1993年6月,1993年7月,1993年8月,1993年9月,1993年10月,1993年11月,1993年12月,1994年1月,1994年2月,1994年3月,1994年4月,1994年5月,1994年6月,1994年7月,1994年8月,1994年9月,1994年10月,1994年11月,1994年12月,1995年1月,1995年2月,1995年3月,1995年4月,1995年5月,1995年6月,1995年7月,1995年8月,1995年9月,1995年10月,1995年11月,1995年12月,1996年1月,1996年2月,1996年3月,1996年4月,1996年5月,1996年6月,1996年7月,1996年8月,1996年9月,1996年10月,1996年11月,1996年12月,1997年1月,1997年2月,1997年3月,1997年4月,1997年5月,1997年6月,1997年7月,1997年8月,1997年9月,1997年10月,1997年11月,1997年12月,1998年1月,1998年2月,1998年3月,1998年4月,1998年5月,1998年6月,1998年7月,1998年8月,1998年9月,1998年10月,1998年11月,1998年12月,1999年1月,1999年2月,1999年3月,1999年4月,1999年5月,1999年6月,1999年7月,1999年8月,1999年9月,1999年10月,1999年11月,1999年12月,2000年1月,2000年2月,2000年3月,2000年4月,2000年5月,2000年6月,2000年7月,2000年8月,2000年9月,2000年10月,2000年11月,2000年12月,2001年1月,2001年2月,2001年3月,2001年4月,2001年5月,2001年6月,2001年7月,2001年8月,2001年9月,2001年10月,2001年11月,2001年12月,2002年1月,2002年2月,2002年3月,2002年4月,2002年5月,2002年6月,2002年7月,2002年8月,2002年9月,2002年10月,2002年11月,2002年12月,2003年1月,2003年2月,2003年3月,2003年4月,2003年5月,2003年6月,2003年7月,2003年8月,2003年9月,2003年10月,2003年11月,2003年12月,2004年1月,2004年2月,2004年3月,2004年4月,2004年5月,2004年6月,2004年7月,2004年8月,2004年9月,2004年10月,2004年11月,2004年12月,2005年1月,2005年2月,2005年3月,2005年4月,2005年5月,2005年6月,2005年7月,2005年8月,2005年9月,2005年10月,2005年11月,2005年12月,2006年1月,2006年2月,2006年3月,2006年4月,2006年5月,2006年6月,2006年7月,2006年8月,2006年9月,2006年10月,2006年11月,2006年12月,2007年1月,2007年2月,2007年3月,2007年4月,2007年5月,2007年6月,2007年7月,2007年8月,2007年9月,2007年10月,2007年11月,2007年12月,2008年1月,2008年2月,2008年3月,2008年4月,2008年5月,2008年6月,2008年7月,2008年8月,2008年9月,2008年10月,2008年11月,2008年12月,2009年1月,2009年2月,2009年3月,2009年4月,2009年5月,2009年6月,2009年7月,2009年8月,2009年9月,2009年10月,2009年11月,2009年12月,2010年1月,2010年2月,2010年3月,2010年4月,2010年5月,2010年6月,2010年7月,2010年8月,2010年9月,2010年10月,2010年11月,2010年12月,2011年1月,2011年2月,2011年3月,2011年4月,2011年5月,2011年6月,2011年7月,2011年8月,2011年9月,2011年10月,2011年11月,2011年12月,2012年1月,2012年2月,2012年3月,2012年4月,2012年5月,2012年6月,2012年7月,2012年8月,2012年9月,2012年10月,2012年11月,2012年12月,2013年1月,2013年2月,2013年3月,2013年4月,2013年5月,2013年6月,2013年7月,2013年8月,2013年9月,2013年10月,2013年11月,2013年12月,2014年1月,2014年2月,2014年3月,2014年4月,2014年5月,2014年6月,2014年7月,2014年8月,2014年9月,2014年10月,2014年11月,2014年12月,2015年1月,2015年2月,2015年3月,2015年4月,2015年5月,2015年6月,2015年7月,2015年8月,2015年9月,2015年10月,2015年11月,2015年12月,2016年1月,2016年2月,2016年3月
鉱工業(MWh) 10社計,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
鉱業,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
石炭鉱業,20307,19480,20888,21518,19984,21707,21084,20308,20533,20088,38104,20010,19797,20098,21015,20327,19000,19054,22036,19082,19985,19087,16763,16775,18003,17733,19093,22114,33471,19280,19137,17360,16377,16399,17233,18625,16769,16499,15613,16065,18664,18685,17871,16664,16860,18346,33340,18551,18706,16881,18584,18733,24011,19859,19804,18779,19556,18635,18605,21065,20609,19220,20676,19858,34574,23780,21237,20098,20563,20115,19161,18952,19846,20259,22205,20035,23476,21336,21197,20847,20002,29409,23200,21798,21546,18573,20661,20992,23891,20031,22378,21700,20146,20248,19133,21442,22367,19797,26732,19272,22094,24370,21358,20483,19825,18774,19816,20593,18533,16335,18339,18703,20080,21434,20023,19857,20463,19632,20019,18586,19669,19173,21919,20276,21511,18770,20326,18684,18987,20860,19458,20553,19488,16757,17199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
その他,93029,94852,101958,94114,87882,91758,94962,92135,92898,100035,104057,112763,102265,100946,110346,102871,98679,99769,101853,99193,98438,105494,106554,115700,114708,114684,117102,104591,100726,100510,102352,94626,95118,102720,110287,112490,106085,111125,106414,100520,95489,99749,100180,91081,103526,107338,105269,112370,96364,100937,111511,102468,92324,92602,92652,86942,90667,101098,100476,105304,97717,104246,115432,96629,88667,94559,97466,96472,98209,100113,104143,106419,98050,105041,108724,94360,84119,93208,88155,90287,92328,107942,103840,112341,93575,111233,111043,100385,93463,91831,97152,92420,91307,104886,100688,103903,98593,108138,107834,95950,91261,91751,90963,83869,89672,106457,99814,99941,94226,97163,101151,89930,83957,86437,87924,74912,79116,88664,94235,103415,95821,98702,99540,87735,82174,82915,80001,80746,80974,86600,85122,100229,88137,101617,107009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
鉱業計,113336,114332,122846,115632,107866,113465,116046,112443,113431,120123,142161,132773,122062,121044,131361,123198,117679,118823,123889,118275,118423,124581,123317,132475,132711,132417,136195,126705,134197,119790,121489,111986,111495,119119,127520,131115,122854,127624,122027,116585,114153,118434,118051,107745,120386,125684,138609,130921,115070,117818,130095,121201,116335,112461,112456,105721,110223,119733,119081,126369,118326,123466,136108,116487,123241,118339,118703,116570,118772,120228,123304,125371,117896,125300,130929,114395,107595,114544,109352,111134,112330,137351,127040,134139,115121,129806,131704,121377,117354,111862,119530,114120,111453,125134,119821,125345,120960,127935,134566,115222,113355,116121,112321,104352,109497,125231,119630,120534,112759,113498,119490,108633,104037,107871,107947,94769,99579,108296,114254,122001,115490,117875,121459,108011,103685,101685,100327,99430,99961,107460,104580,120782,107625,118374,124208,104058,96654,100358,99974,105134,103701,109403,105967,119074,112915,108952,120204,98914,95589,98060,97013,93963,95983,100368,105736,107918,93240,96948,93335,82426,78778,80242,76239,76607,84854,89131,87263,88868,86727,86819,92647,76559,73525,73503,72206,65760,68629,81635,76710,80671,80360,84367,84014,69669,67677,72179,74864,72666,68818,73144,80318,87586,84540,84642,89443,73409,71952,79050,71463,70624,72682,77687,86401,93592,88028,88197,90084,77974,74838,82121,80585,78532,81634,83253,85750,91632,92062,89957,95705,73708,72471,73651,73006,68874,70608,78787,76830,78582,71305,76416,81474,76080,71548,73958,76355,69889,72996,78879,76751,79659,71910,70564,73817,68013,62537,67030,69087,66262,69577,73451,70811,77774,71034,72378,77779,73464,68139,71449,71480,69512,72846,73425,75081,78531,73989,74742,77820,70852,66356,71555,68353,67814,69011,74671,75645,78032,72436,76769,81507,75653,74117,72363,72329,68358,69592,76321,77057,79077,74738,75106,80633,75998,74430,74341,77148,71306,73903,81765,84202,85543,81079,78839,86201,82632,77643,75130,77906,73056,78239,81422,80839,84910,79314,78000,83486,77547,72433,74166,72814,68841,72548,78504,75345,78770,72114,75417,77429
製造業,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
食料品製造業,717100,714931,789394,807638,826599,891149,987991,1014591,1009793,940615,885189,858690,781546,796407,857634,872511,907979,1000818,1080864,1082883,1056075,1005287,922996,891392,816783,819722,875713,920372,954894,1039313,1141854,1089873,1084139,1037154,952808,925007,853726,864594,911511,949801,959680,1039758,1143470,1114318,1104323,1058548,971396,950603,871492,866173,953181,976867,983032,1085415,1149054,1117987,1128092,1064801,1010418,972152,892617,881119,974778,1014148,1033437,1128365,1268408,1275198,1220381,1144268,1061445,1018220,908116,919139,1004227,1019268,1049318,1130060,1245055,1310127,1228641,1164614,1071488,1044480,948947,980441,1033300,1059024,1102464,1190399,1330593,1310910,1242031,1196826,1113473,1082112,991780,987501,1062891,1100348,1163246,1239797,1389399,1351543,1309739,1222119,1128044,1121019,1020415,1004624,1098403,1166822,1204847,1273498,1415681,1388013,1356284,1296018,1159124,1153383,1039958,1034014,1130489,1164126,1194373,1318629,1423044,1454959,1432520,1308942,1206621,1183730,1050787,1079079,1166759,1173588,1228650,1340643,1469401,1507096,1437696,1326380,1231003,1201151,1084250,1085654,1182045,1210684,1283590,1381534,1538391,1525150,1419780,1339153,1235935,1212104,1099005,1085647,1188196,1235103,1281035,1355834,1536478,1520129,1425984,1349703,1220228,1206168,1111736,1095939,1177679,1231539,1291049,1364681,1440729,1453499,1442656,1318711,1230213,1206386,1099145,1101218,1186554,1207812,1249010,1367883,1524063,1494064,1437455,1312093,1223772,1198464,1090866,1073653,1173290,1197826,1218834,1366616,1468044,1512380,1452973,1339277,1225526,1202502,1106887,1086613,1190679,1202817,1267690,1379609,1496905,1566098,1464473,1406351,1342779,1320038,1204990,1183867,1308737,1319286,1392105,1500073,1596595,1692830,1634408,1521559,1382237,1363100,1241859,1254547,1320496,1361217,1419373,1491267,1705193,1682467,1600594,1520313,1370491,1364150,1248667,1214496,1317885,1374325,1410675,1518249,1666425,1638391,1563563,1491229,1365057,1357551,1248340,1222111,1344861,1370176,1399229,1557752,1736534,1783433,1696915,1535569,1401139,1392368,1282816,1260969,1303031,1362174,1421443,1548884,1659852,1669281,1592729,1483882,1407516,1361147,1256346,1270907,1359661,1378620,1443450,1510547,1653182,1713300,1630077,1516703,1395202,1363086,1256838,1238451,1354318,1388603,1462600,1556413,1738154,1747227,1627071,1581986,1424509,1386141,1302536,1270160,1386401,1410238,1473549,1566369,1723365,1697952,1590955,1541219,1417229,1399021,1307257,1270079,1387611,1429701,1488026,1581752,1732347,1717030,1600750,1534002,1445468,1406723,1294202,1293383,1385222
繊維工業,515705,541202,586141,554837,536889,600429,644491,586644,634727,592212,574944,563013,514914,544730,586986,558333,551037,614757,644102,570193,602650,593335,561575,550816,505162,529300,557318,544369,530366,587453,647631,558400,594744,586194,556292,543269,508458,543645,559398,549863,519289,577479,619554,536918,578873,551120,510659,509808,461019,480049,517420,495378,457542,513370,535729,465740,498046,474846,461926,456284,416332,436929,473079,452744,432573,492233,530304,474418,500328,472593,457576,445488,409863,429244,459183,426094,412472,453443,473960,428004,434937,422428,412189,409364,380663,409868,419598,410617,396083,429491,466099,412926,424370,422972,407000,399602,376464,389124,410379,407779,400176,429485,464325,406137,428808,414401,387561,385047,360420,361297,379601,370656,358248,389176,411220,353700,381925,371716,342156,341291,314321,325488,348747,334619,320259,360193,377010,340015,372930,350432,337939,333160,306020,331883,343446,322663,313108,346764,361166,326549,339583,323586,315687,309726,285722,296114,318969,301000,300102,322582,343044,306064,315918,312117,298684,290745,265538,272577,285940,280709,273604,288017,315051,274626,284898,279522,274080,269000,253530,254121,266857,255364,249699,262965,275367,249358,268943,260427,249647,248741,237258,241939,257357,246037,235605,265322,276818,246344,264173,249308,247509,242114,224740,229060,247906,238742,236048,268661,275875,251395,270028,259373,257185,252353,236780,242914,262104,248553,241367,266871,279517,258968,273609,269916,270840,267952,249620,254806,275986,261459,254345,275919,285547,262925,280637,271901,263231,255821,240375,257634,260627,250077,240927,254549,275779,238149,257930,247948,232533,219243,196745,183658,183838,293447,295274,339180,355668,326568,341562,385134,341911,328609,325485,319012,333960,346402,346620,373361,396584,381970,394672,407431,366139,364345,356262,348097,368412,354405,345822,388119,390743,368406,365770,386587,370326,337382,319056,331874,336818,341026,336172,348455,356761,337180,338270,362267,321475,308599,294061,299706,328649,338353,330281,362843,371550,348770,340474,372355,325481,316287,316024,294552,316726,334942,331737,340809,362864,326471,335952,354521,317641,317672,307395,298132,322764,329910,322316,337003,342377,322992,316239,341171,308335,289740,291696,291180,298896
パルプ，紙，紙加工品製造業,858701,815984,903681,924178,985661,963616,958285,940710,957854,968814,939083,927153,880130,836427,912595,953163,1000682,1034398,968966,969132,1002852,1039355,1012036,1019947,958557,890999,1031458,1012679,1045742,1055309,967651,974802,979776,1014063,971571,939385,854751,856108,929719,967604,996837,983020,902001,914849,947541,966727,941294,873566,816662,793759,875186,895283,921764,896408,841318,825407,857761,891813,851812,811268,757012,749329,816695,855640,897051,877368,837613,801897,837617,868293,816364,784771,719079,735328,798814,819723,854895,792545,772635,760451,782564,832763,773713,757199,752083,767098,832894,864682,915215,923010,876777,829223,869469,899698,865745,839631,787483,780733,876529,917469,962624,938317,905079,879589,902222,936571,909949,864804,789979,782545,868946,937473,948677,885211,843423,835941,866220,921248,872456,824206,742154,733573,793953,844244,896010,852065,857697,857707,895740,954261,889584,853674,776598,799100,868794,897400,941519,915728,887232,876279,902026,934049,891963,851339,784371,772462,864533,894602,943186,896561,863137,838427,852187,915879,838100,805145,723631,723808,820236,878665,923272,879469,862586,850114,880502,924093,859716,834617,760681,755761,841257,886100,916900,860585,833088,823458,856442,896534,867415,811197,744765,769334,802916,859848,863708,844190,825913,820895,848520,886277,825985,804755,740933,739628,813132,857146,890104,865058,852758,828425,877277,942270,868980,850914,813760,770046,867564,893596,933836,879201,877543,858202,876335,954292,877342,861301,823423,801867,882601,901080,915716,926671,893399,896056,919534,955441,916465,930559,901919,884443,952079,978743,1004465,964546,963035,948537,946480,1007923,910508,840133,713016,642990,673009,789013,830843,784180,772531,774369,790241,854647,794033,765615,719731,727782,797946,860137,865761,840730,832986,813657,826742,871382,826523,795879,766491,775702,804771,846912,835729,825580,750949,690780,736665,842659,810069,731927,708976,693721,754900,817101,811208,769185,678665,651491,685072,755994,729704,666208,636493,626467,697518,779660,751484,761452,693207,678419,700672,740804,688872,663778,660249,642223,700738,724363,707990,696017,666702,638731,662116,707720,715367,678049,608998,592074,653955,662609,678233,653722,622309,593009,621470,678381,648252,609523,583009,569738,594356
化学工業,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
