DATE,TIME,electricity
2016/4/1,0:00,249
2016/4/1,1:00,261
2016/4/1,2:00,287
2016/4/1,3:00,301
2016/4/1,4:00,299
2016/4/1,5:00,282
2016/4/1,6:00,266
2016/4/1,7:00,268
2016/4/1,8:00,308
2016/4/1,9:00,329
2016/4/1,10:00,335
2016/4/1,11:00,331
2016/4/1,12:00,310
2016/4/1,13:00,325
2016/4/1,14:00,326
2016/4/1,15:00,320
2016/4/1,16:00,317
2016/4/1,17:00,315
2016/4/1,18:00,321
2016/4/1,19:00,316
2016/4/1,20:00,303
2016/4/1,21:00,285
2016/4/1,22:00,266
2016/4/1,23:00,257
2016/4/2,0:00,257
2016/4/2,1:00,261
2016/4/2,2:00,287
2016/4/2,3:00,302
2016/4/2,4:00,301
2016/4/2,5:00,283
2016/4/2,6:00,261
2016/4/2,7:00,243
2016/4/2,8:00,274
2016/4/2,9:00,302
2016/4/2,10:00,308
2016/4/2,11:00,311
2016/4/2,12:00,302
2016/4/2,13:00,298
2016/4/2,14:00,289
2016/4/2,15:00,287
2016/4/2,16:00,290
2016/4/2,17:00,279
2016/4/2,18:00,293
2016/4/2,19:00,294
2016/4/2,20:00,282
2016/4/2,21:00,268
2016/4/2,22:00,244
2016/4/2,23:00,235
2016/4/3,0:00,228
2016/4/3,1:00,237
2016/4/3,2:00,262
2016/4/3,3:00,281
2016/4/3,4:00,278
2016/4/3,5:00,256
2016/4/3,6:00,228
2016/4/3,7:00,218
2016/4/3,8:00,227
2016/4/3,9:00,231
2016/4/3,10:00,239
2016/4/3,11:00,239
2016/4/3,12:00,239
2016/4/3,13:00,241
2016/4/3,14:00,242
2016/4/3,15:00,249
2016/4/3,16:00,258
2016/4/3,17:00,274
2016/4/3,18:00,291
2016/4/3,19:00,286
2016/4/3,20:00,274
2016/4/3,21:00,259
2016/4/3,22:00,239
2016/4/3,23:00,229
2016/4/4,0:00,226
2016/4/4,1:00,240
2016/4/4,2:00,263
2016/4/4,3:00,281
2016/4/4,4:00,281
2016/4/4,5:00,267
2016/4/4,6:00,253
2016/4/4,7:00,259
2016/4/4,8:00,297
2016/4/4,9:00,315
2016/4/4,10:00,306
2016/4/4,11:00,312
2016/4/4,12:00,294
2016/4/4,13:00,309
2016/4/4,14:00,316
2016/4/4,15:00,315
2016/4/4,16:00,315
2016/4/4,17:00,309
2016/4/4,18:00,311
2016/4/4,19:00,303
2016/4/4,20:00,286
2016/4/4,21:00,269
2016/4/4,22:00,250
2016/4/4,23:00,238
2016/4/5,0:00,240
2016/4/5,1:00,251
2016/4/5,2:00,277
2016/4/5,3:00,295
2016/4/5,4:00,298
2016/4/5,5:00,284
2016/4/5,6:00,271
2016/4/5,7:00,266
2016/4/5,8:00,293
2016/4/5,9:00,306
2016/4/5,10:00,317
2016/4/5,11:00,323
2016/4/5,12:00,307
2016/4/5,13:00,327
2016/4/5,14:00,323
2016/4/5,15:00,313
2016/4/5,16:00,311
2016/4/5,17:00,306
2016/4/5,18:00,316
2016/4/5,19:00,316
2016/4/5,20:00,300
2016/4/5,21:00,285
2016/4/5,22:00,281
2016/4/5,23:00,273
2016/4/6,0:00,268
2016/4/6,1:00,276
2016/4/6,2:00,300
2016/4/6,3:00,322
2016/4/6,4:00,324
2016/4/6,5:00,309
2016/4/6,6:00,293
2016/4/6,7:00,282
2016/4/6,8:00,309
2016/4/6,9:00,324
2016/4/6,10:00,328
2016/4/6,11:00,334
2016/4/6,12:00,311
2016/4/6,13:00,334
2016/4/6,14:00,331
2016/4/6,15:00,322
2016/4/6,16:00,326
2016/4/6,17:00,320
2016/4/6,18:00,327
2016/4/6,19:00,320
2016/4/6,20:00,303
2016/4/6,21:00,285
2016/4/6,22:00,270
2016/4/6,23:00,262
2016/4/7,0:00,256
2016/4/7,1:00,265
2016/4/7,2:00,291
2016/4/7,3:00,308
2016/4/7,4:00,310
2016/4/7,5:00,296
2016/4/7,6:00,277
2016/4/7,7:00,281
2016/4/7,8:00,322
2016/4/7,9:00,339
2016/4/7,10:00,340
2016/4/7,11:00,337
2016/4/7,12:00,319
2016/4/7,13:00,348
2016/4/7,14:00,341
2016/4/7,15:00,342
2016/4/7,16:00,343
2016/4/7,17:00,341
2016/4/7,18:00,340
2016/4/7,19:00,326
2016/4/7,20:00,310
2016/4/7,21:00,288
2016/4/7,22:00,272
2016/4/7,23:00,265
2016/4/8,0:00,256
2016/4/8,1:00,263
2016/4/8,2:00,287
2016/4/8,3:00,306
2016/4/8,4:00,309
2016/4/8,5:00,295
2016/4/8,6:00,282
2016/4/8,7:00,264
2016/4/8,8:00,294
2016/4/8,9:00,315
2016/4/8,10:00,320
2016/4/8,11:00,314
2016/4/8,12:00,295
2016/4/8,13:00,318
2016/4/8,14:00,311
2016/4/8,15:00,306
2016/4/8,16:00,312
2016/4/8,17:00,309
2016/4/8,18:00,317
2016/4/8,19:00,316
2016/4/8,20:00,304
2016/4/8,21:00,282
2016/4/8,22:00,265
2016/4/8,23:00,257
2016/4/9,0:00,251
2016/4/9,1:00,260
2016/4/9,2:00,285
2016/4/9,3:00,304
2016/4/9,4:00,302
2016/4/9,5:00,282
2016/4/9,6:00,252
2016/4/9,7:00,241
2016/4/9,8:00,250
2016/4/9,9:00,262
