DATE,TIME,electricity
1/1/2020,0:00,2857
1/1/2020,1:00,2703
1/1/2020,2:00,2602
1/1/2020,3:00,2520
1/1/2020,4:00,2464
1/1/2020,5:00,2469
1/1/2020,6:00,2585
1/1/2020,7:00,2763
1/1/2020,8:00,2917
1/1/2020,9:00,2859
1/1/2020,10:00,2718
1/1/2020,11:00,2595
1/1/2020,12:00,2520
1/1/2020,13:00,2449
1/1/2020,14:00,2432
1/1/2020,15:00,2503
1/1/2020,16:00,2717
1/1/2020,17:00,3019
1/1/2020,18:00,3089
1/1/2020,19:00,3105
1/1/2020,20:00,3107
1/1/2020,21:00,3075
1/1/2020,22:00,2963
1/1/2020,23:00,2843
1/2/2020,0:00,2640
1/2/2020,1:00,2514
1/2/2020,2:00,2468
1/2/2020,3:00,2441
1/2/2020,4:00,2435
1/2/2020,5:00,2487
1/2/2020,6:00,2658
1/2/2020,7:00,2863
1/2/2020,8:00,3010
1/2/2020,9:00,2961
1/2/2020,10:00,2865
1/2/2020,11:00,2773
1/2/2020,12:00,2687
1/2/2020,13:00,2583
1/2/2020,14:00,2541
1/2/2020,15:00,2600
1/2/2020,16:00,2808
1/2/2020,17:00,3107
1/2/2020,18:00,3187
1/2/2020,19:00,3196
1/2/2020,20:00,3184
1/2/2020,21:00,3128
1/2/2020,22:00,2999
1/2/2020,23:00,2868
1/3/2020,0:00,2653
1/3/2020,1:00,2525
1/3/2020,2:00,2478
1/3/2020,3:00,2457
1/3/2020,4:00,2449
1/3/2020,5:00,2503
1/3/2020,6:00,2670
1/3/2020,7:00,2892
1/3/2020,8:00,3074
1/3/2020,9:00,3034
1/3/2020,10:00,2908
1/3/2020,11:00,2777
1/3/2020,12:00,2693
1/3/2020,13:00,2629
1/3/2020,14:00,2603
1/3/2020,15:00,2647
1/3/2020,16:00,2845
1/3/2020,17:00,3159
1/3/2020,18:00,3251
1/3/2020,19:00,3263
1/3/2020,20:00,3239
1/3/2020,21:00,3168
1/3/2020,22:00,3021
1/3/2020,23:00,2874
1/4/2020,0:00,2662
1/4/2020,1:00,2535
1/4/2020,2:00,2481
1/4/2020,3:00,2448
1/4/2020,4:00,2442
1/4/2020,5:00,2506
1/4/2020,6:00,2704
1/4/2020,7:00,2942
1/4/2020,8:00,3179
1/4/2020,9:00,3229
1/4/2020,10:00,3143
1/4/2020,11:00,3055
1/4/2020,12:00,2990
1/4/2020,13:00,2929
1/4/2020,14:00,2936
1/4/2020,15:00,2999
1/4/2020,16:00,3203
1/4/2020,17:00,3441
1/4/2020,18:00,3486
1/4/2020,19:00,3473
1/4/2020,20:00,3414
1/4/2020,21:00,3286
1/4/2020,22:00,3096
1/4/2020,23:00,2945
1/5/2020,0:00,2753
1/5/2020,1:00,2624
1/5/2020,2:00,2575
1/5/2020,3:00,2544
1/5/2020,4:00,2531
1/5/2020,5:00,2590
1/5/2020,6:00,2771
1/5/2020,7:00,3014
1/5/2020,8:00,3234
1/5/2020,9:00,3263
1/5/2020,10:00,3172
1/5/2020,11:00,3077
1/5/2020,12:00,3014
1/5/2020,13:00,2970
1/5/2020,14:00,2956
1/5/2020,15:00,3039
1/5/2020,16:00,3290
1/5/2020,17:00,3667
1/5/2020,18:00,3777
1/5/2020,19:00,3778
1/5/2020,20:00,3736
1/5/2020,21:00,3593
1/5/2020,22:00,3367
1/5/2020,23:00,3161
1/6/2020,0:00,2900
1/6/2020,1:00,2756
1/6/2020,2:00,2698
1/6/2020,3:00,2674
1/6/2020,4:00,2715
1/6/2020,5:00,2953
1/6/2020,6:00,3454
1/6/2020,7:00,3881
1/6/2020,8:00,4168
1/6/2020,9:00,4201
1/6/2020,10:00,4058
1/6/2020,11:00,3945
1/6/2020,12:00,3731
1/6/2020,13:00,3782
1/6/2020,14:00,3771
1/6/2020,15:00,3808
1/6/2020,16:00,4012
1/6/2020,17:00,4177
1/6/2020,18:00,4154
1/6/2020,19:00,4077
1/6/2020,20:00,3965
1/6/2020,21:00,3804
1/6/2020,22:00,3600
1/6/2020,23:00,3338
1/7/2020,0:00,3054
1/7/2020,1:00,2903
1/7/2020,2:00,2857
1/7/2020,3:00,2843
1/7/2020,4:00,2873
1/7/2020,5:00,3075
1/7/2020,6:00,3534
1/7/2020,7:00,3903
1/7/2020,8:00,4291
1/7/2020,9:00,4485
1/7/2020,10:00,4403
1/7/2020,11:00,4334
1/7/2020,12:00,4201
1/7/2020,13:00,4294
1/7/2020,14:00,4278
1/7/2020,15:00,4311
1/7/2020,16:00,4466
1/7/2020,17:00,4501
1/7/2020,18:00,4442
1/7/2020,19:00,4335
1/7/2020,20:00,4208
1/7/2020,21:00,4010
1/7/2020,22:00,3773
1/7/2020,23:00,3494
1/8/2020,0:00,3174
1/8/2020,1:00,2998
1/8/2020,2:00,2916
1/8/2020,3:00,2882
1/8/2020,4:00,2909
1/8/2020,5:00,3091
1/8/2020,6:00,3537
1/8/2020,7:00,3940
1/8/2020,8:00,4355
1/8/2020,9:00,4653
1/8/2020,10:00,4638
1/8/2020,11:00,4631
1/8/2020,12:00,4287
1/8/2020,13:00,4315
1/8/2020,14:00,4206
1/8/2020,15:00,4138
1/8/2020,16:00,4272
1/8/2020,17:00,4399
1/8/2020,18:00,4363
1/8/2020,19:00,4263
1/8/2020,20:00,4134
1/8/2020,21:00,3950
1/8/2020,22:00,3725
1/8/2020,23:00,3430
1/9/2020,0:00,3108
1/9/2020,1:00,2927
1/9/2020,2:00,2852
1/9/2020,3:00,2823
1/9/2020,4:00,2862
1/9/2020,5:00,3040
1/9/2020,6:00,3463
1/9/2020,7:00,3750
1/9/2020,8:00,3966
1/9/2020,9:00,4010
1/9/2020,10:00,3887
1/9/2020,11:00,3786
1/9/2020,12:00,3585
1/9/2020,13:00,3679
1/9/2020,14:00,3663
1/9/2020,15:00,3693
1/9/2020,16:00,3878
1/9/2020,17:00,4090
1/9/2020,18:00,4086
1/9/2020,19:00,3994
1/9/2020,20:00,3876
1/9/2020,21:00,3705
1/9/2020,22:00,3522
1/9/2020,23:00,3285
1/10/2020,0:00,3009
1/10/2020,1:00,2864
1/10/2020,2:00,2818
1/10/2020,3:00,2817
1/10/2020,4:00,2870
1/10/2020,5:00,3072
1/10/2020,6:00,3504
1/10/2020,7:00,3840
1/10/2020,8:00,4095
1/10/2020,9:00,4127
1/10/2020,10:00,3959
1/10/2020,11:00,3859
1/10/2020,12:00,3684
1/10/2020,13:00,3756
1/10/2020,14:00,3739
1/10/2020,15:00,3774
1/10/2020,16:00,3936
1/10/2020,17:00,4124
1/10/2020,18:00,4115
1/10/2020,19:00,4022
1/10/2020,20:00,3913
1/10/2020,21:00,3769
1/10/2020,22:00,3615
1/10/2020,23:00,3399
1/11/2020,0:00,3139
1/11/2020,1:00,2982
1/11/2020,2:00,2902
1/11/2020,3:00,2857
1/11/2020,4:00,2844
1/11/2020,5:00,2907
1/11/2020,6:00,3121
1/11/2020,7:00,3411
1/11/2020,8:00,3812
1/11/2020,9:00,4001
1/11/2020,10:00,3899
1/11/2020,11:00,3729
1/11/2020,12:00,3520
1/11/2020,13:00,3417
1/11/2020,14:00,3355
1/11/2020,15:00,3355
1/11/2020,16:00,3521
1/11/2020,17:00,3786
1/11/2020,18:00,3832
1/11/2020,19:00,3800
1/11/2020,20:00,3724
1/11/2020,21:00,3591
1/11/2020,22:00,3402
1/11/2020,23:00,3229
1/12/2020,0:00,3007
1/12/2020,1:00,2871
1/12/2020,2:00,2807
1/12/2020,3:00,2774
1/12/2020,4:00,2764
1/12/2020,5:00,2818
1/12/2020,6:00,2998
1/12/2020,7:00,3223
1/12/2020,8:00,3461
1/12/2020,9:00,3603
1/12/2020,10:00,3587
1/12/2020,11:00,3477
1/12/2020,12:00,3389
1/12/2020,13:00,3359
1/12/2020,14:00,3291
1/12/2020,15:00,3354
1/12/2020,16:00,3538
1/12/2020,17:00,3763
1/12/2020,18:00,3796
1/12/2020,19:00,3750
1/12/2020,20:00,3663
1/12/2020,21:00,3511
1/12/2020,22:00,3307
1/12/2020,23:00,3109
1/13/2020,0:00,2868
1/13/2020,1:00,2737
1/13/2020,2:00,2692
1/13/2020,3:00,2674
1/13/2020,4:00,2699
1/13/2020,5:00,2796
1/13/2020,6:00,3025
1/13/2020,7:00,3283
1/13/2020,8:00,3550
1/13/2020,9:00,3586
1/13/2020,10:00,3481
1/13/2020,11:00,3376
1/13/2020,12:00,3247
1/13/2020,13:00,3242
1/13/2020,14:00,3212
1/13/2020,15:00,3249
1/13/2020,16:00,3405
1/13/2020,17:00,3713
1/13/2020,18:00,3812
1/13/2020,19:00,3783
1/13/2020,20:00,3713
1/13/2020,21:00,3558
1/13/2020,22:00,3338
1/13/2020,23:00,3102
1/14/2020,0:00,2857
1/14/2020,1:00,2742
1/14/2020,2:00,2717
1/14/2020,3:00,2726
1/14/2020,4:00,2790
1/14/2020,5:00,3035
1/14/2020,6:00,3468
1/14/2020,7:00,3800
1/14/2020,8:00,4057
1/14/2020,9:00,4124
1/14/2020,10:00,4004
1/14/2020,11:00,3940
1/14/2020,12:00,3742
1/14/2020,13:00,3814
1/14/2020,14:00,3771
1/14/2020,15:00,3770
1/14/2020,16:00,3944
1/14/2020,17:00,4131
1/14/2020,18:00,4112
1/14/2020,19:00,4007
1/14/2020,20:00,3888
1/14/2020,21:00,3718
1/14/2020,22:00,3522
1/14/2020,23:00,3269
1/15/2020,0:00,2975
1/15/2020,1:00,2830
1/15/2020,2:00,2793
1/15/2020,3:00,2792
1/15/2020,4:00,2849
1/15/2020,5:00,3023
1/15/2020,6:00,3422
1/15/2020,7:00,3810
1/15/2020,8:00,4224
1/15/2020,9:00,4414
1/15/2020,10:00,4335
1/15/2020,11:00,4256
1/15/2020,12:00,3985
1/15/2020,13:00,4020
1/15/2020,14:00,3943
1/15/2020,15:00,3943
1/15/2020,16:00,4094
1/15/2020,17:00,4278
1/15/2020,18:00,4274
1/15/2020,19:00,4187
1/15/2020,20:00,4071
1/15/2020,21:00,3913
1/15/2020,22:00,3714
1/15/2020,23:00,3468
1/16/2020,0:00,3179
1/16/2020,1:00,3015
1/16/2020,2:00,2960
1/16/2020,3:00,2939
1/16/2020,4:00,2973
1/16/2020,5:00,3179
1/16/2020,6:00,3658
1/16/2020,7:00,3990
1/16/2020,8:00,4228
1/16/2020,9:00,4280
1/16/2020,10:00,4167
1/16/2020,11:00,4113
1/16/2020,12:00,3947
1/16/2020,13:00,4022
1/16/2020,14:00,3980
1/16/2020,15:00,3966
1/16/2020,16:00,4126
1/16/2020,17:00,4332
1/16/2020,18:00,4330
1/16/2020,19:00,4241
1/16/2020,20:00,4130
1/16/2020,21:00,3956
1/16/2020,22:00,3746
1/16/2020,23:00,3486
1/17/2020,0:00,3199
1/17/2020,1:00,3034
1/17/2020,2:00,2961
1/17/2020,3:00,2940
1/17/2020,4:00,2973
1/17/2020,5:00,3175
1/17/2020,6:00,3654
1/17/2020,7:00,4032
1/17/2020,8:00,4405
1/17/2020,9:00,4559
