DATE,TIME,electricity
1/1/2020,0:00,914
1/1/2020,1:00,920
1/1/2020,2:00,935
1/1/2020,3:00,940
1/1/2020,4:00,944
1/1/2020,5:00,922
1/1/2020,6:00,887
1/1/2020,7:00,847
1/1/2020,8:00,874
1/1/2020,9:00,867
1/1/2020,10:00,836
1/1/2020,11:00,809
1/1/2020,12:00,800
1/1/2020,13:00,795
1/1/2020,14:00,778
1/1/2020,15:00,803
1/1/2020,16:00,871
1/1/2020,17:00,935
1/1/2020,18:00,942
1/1/2020,19:00,928
1/1/2020,20:00,914
1/1/2020,21:00,896
1/1/2020,22:00,856
1/1/2020,23:00,875
1/2/2020,0:00,850
1/2/2020,1:00,874
1/2/2020,2:00,903
1/2/2020,3:00,919
1/2/2020,4:00,924
1/2/2020,5:00,914
1/2/2020,6:00,890
1/2/2020,7:00,870
1/2/2020,8:00,893
1/2/2020,9:00,893
1/2/2020,10:00,866
1/2/2020,11:00,839
1/2/2020,12:00,826
1/2/2020,13:00,810
1/2/2020,14:00,795
1/2/2020,15:00,807
1/2/2020,16:00,880
1/2/2020,17:00,945
1/2/2020,18:00,947
1/2/2020,19:00,930
1/2/2020,20:00,903
1/2/2020,21:00,875
1/2/2020,22:00,831
1/2/2020,23:00,841
1/3/2020,0:00,820
1/3/2020,1:00,841
1/3/2020,2:00,870
1/3/2020,3:00,899
1/3/2020,4:00,909
1/3/2020,5:00,895
1/3/2020,6:00,875
1/3/2020,7:00,855
1/3/2020,8:00,890
1/3/2020,9:00,896
1/3/2020,10:00,861
1/3/2020,11:00,834
1/3/2020,12:00,825
1/3/2020,13:00,822
1/3/2020,14:00,828
1/3/2020,15:00,834
1/3/2020,16:00,902
1/3/2020,17:00,964
1/3/2020,18:00,961
1/3/2020,19:00,949
1/3/2020,20:00,926
1/3/2020,21:00,902
1/3/2020,22:00,852
1/3/2020,23:00,859
1/4/2020,0:00,834
1/4/2020,1:00,859
1/4/2020,2:00,892
1/4/2020,3:00,906
1/4/2020,4:00,913
1/4/2020,5:00,906
1/4/2020,6:00,892
1/4/2020,7:00,876
1/4/2020,8:00,932
1/4/2020,9:00,957
1/4/2020,10:00,934
1/4/2020,11:00,906
1/4/2020,12:00,892
1/4/2020,13:00,883
1/4/2020,14:00,884
1/4/2020,15:00,888
