DATE,TIME,electricity
2020/1/1,0:00,914
2020/1/1,1:00,920
2020/1/1,2:00,935
2020/1/1,3:00,940
2020/1/1,4:00,944
2020/1/1,5:00,922
2020/1/1,6:00,887
2020/1/1,7:00,847
2020/1/1,8:00,874
2020/1/1,9:00,867
2020/1/1,10:00,836
2020/1/1,11:00,809
2020/1/1,12:00,800
2020/1/1,13:00,795
2020/1/1,14:00,778
2020/1/1,15:00,803
2020/1/1,16:00,871
2020/1/1,17:00,935
2020/1/1,18:00,942
2020/1/1,19:00,928
2020/1/1,20:00,914
2020/1/1,21:00,896
2020/1/1,22:00,856
2020/1/1,23:00,875
2020/1/2,0:00,850
2020/1/2,1:00,874
2020/1/2,2:00,903
2020/1/2,3:00,919
2020/1/2,4:00,924
2020/1/2,5:00,914
2020/1/2,6:00,890
2020/1/2,7:00,870
2020/1/2,8:00,893
2020/1/2,9:00,893
2020/1/2,10:00,866
2020/1/2,11:00,839
2020/1/2,12:00,826
2020/1/2,13:00,810
2020/1/2,14:00,795
2020/1/2,15:00,807
2020/1/2,16:00,880
2020/1/2,17:00,945
2020/1/2,18:00,947
2020/1/2,19:00,930
2020/1/2,20:00,903
2020/1/2,21:00,875
2020/1/2,22:00,831
2020/1/2,23:00,841
2020/1/3,0:00,820
2020/1/3,1:00,841
2020/1/3,2:00,870
2020/1/3,3:00,899
2020/1/3,4:00,909
2020/1/3,5:00,895
2020/1/3,6:00,875
2020/1/3,7:00,855
2020/1/3,8:00,890
2020/1/3,9:00,896
2020/1/3,10:00,861
2020/1/3,11:00,834
2020/1/3,12:00,825
2020/1/3,13:00,822
2020/1/3,14:00,828
2020/1/3,15:00,834
2020/1/3,16:00,902
2020/1/3,17:00,964
2020/1/3,18:00,961
2020/1/3,19:00,949
2020/1/3,20:00,926
2020/1/3,21:00,902
2020/1/3,22:00,852
2020/1/3,23:00,859
2020/1/4,0:00,834
2020/1/4,1:00,859
2020/1/4,2:00,892
2020/1/4,3:00,906
2020/1/4,4:00,913
2020/1/4,5:00,906
2020/1/4,6:00,892
2020/1/4,7:00,876
2020/1/4,8:00,932
2020/1/4,9:00,957
2020/1/4,10:00,934
2020/1/4,11:00,906
2020/1/4,12:00,892
2020/1/4,13:00,883
2020/1/4,14:00,884
2020/1/4,15:00,888
2020/1/4,16:00,964
2020/1/4,17:00,1027
2020/1/4,18:00,1027
2020/1/4,19:00,1016
2020/1/4,20:00,997
2020/1/4,21:00,953
2020/1/4,22:00,906
2020/1/4,23:00,924
2020/1/5,0:00,904
2020/1/5,1:00,927
2020/1/5,2:00,958
2020/1/5,3:00,972
2020/1/5,4:00,970
2020/1/5,5:00,962
2020/1/5,6:00,944
2020/1/5,7:00,919
2020/1/5,8:00,951
2020/1/5,9:00,982
2020/1/5,10:00,951
2020/1/5,11:00,948
2020/1/5,12:00,936
2020/1/5,13:00,921
2020/1/5,14:00,917
2020/1/5,15:00,937
2020/1/5,16:00,1011
2020/1/5,17:00,1076
2020/1/5,18:00,1079
2020/1/5,19:00,1061
2020/1/5,20:00,1024
2020/1/5,21:00,972
2020/1/5,22:00,912
2020/1/5,23:00,913
2020/1/6,0:00,888
2020/1/6,1:00,914
2020/1/6,2:00,945
2020/1/6,3:00,967
2020/1/6,4:00,980
2020/1/6,5:00,1003
2020/1/6,6:00,1038
2020/1/6,7:00,1041
2020/1/6,8:00,1096
2020/1/6,9:00,1137
2020/1/6,10:00,1123
2020/1/6,11:00,1124
2020/1/6,12:00,1061
2020/1/6,13:00,1086
2020/1/6,14:00,1079
2020/1/6,15:00,1075
2020/1/6,16:00,1143
2020/1/6,17:00,1147
2020/1/6,18:00,1123
2020/1/6,19:00,1091
2020/1/6,20:00,1056
2020/1/6,21:00,1014
2020/1/6,22:00,998
2020/1/6,23:00,992
2020/1/7,0:00,969
2020/1/7,1:00,1005
2020/1/7,2:00,1044
2020/1/7,3:00,1071
2020/1/7,4:00,1092
2020/1/7,5:00,1116
2020/1/7,6:00,1168
2020/1/7,7:00,1164
2020/1/7,8:00,1219
2020/1/7,9:00,1241
2020/1/7,10:00,1213
2020/1/7,11:00,1181
2020/1/7,12:00,1118
2020/1/7,13:00,1156
2020/1/7,14:00,1153
2020/1/7,15:00,1146
2020/1/7,16:00,1201
